# Distance (in angstrom)   RDF
       0.0000000       0.0000000
       0.0390625       0.0000000
       0.0781250       0.0000000
       0.1171875       0.0000000
       0.1562500       0.0000000
       0.1953125       0.0000000
       0.2343750       0.0000000
       0.2734375       0.0000000
       0.3125000       0.0000000
       0.3515625       0.0000000
       0.3906250       0.0000000
       0.4296875       0.0000000
       0.4687500       0.0000000
       0.5078125       0.0000000
       0.5468750       0.0000000
       0.5859375       0.0000000
       0.6250000       0.0000000
       0.6640625       0.0000000
       0.7031250       0.0000000
       0.7421875       0.0000000
       0.7812500       0.0000000
       0.8203125       0.0000000
       0.8593750       0.0000000
       0.8984375       0.0000000
       0.9375000       0.0000000
       0.9765625       0.0000000
       1.0156250       0.0000000
       1.0546875       0.0000000
       1.0937500       0.0000000
       1.1328125       0.0000000
       1.1718750       0.0000000
       1.2109375       0.0000000
       1.2500000       0.0000000
       1.2890625       0.0000000
       1.3281250       0.0000000
       1.3671875       0.0000000
       1.4062500       0.0000000
       1.4453125       0.0000000
       1.4843750       0.0000000
       1.5234375       0.0000000
       1.5625000       0.0000000
       1.6015625       0.0000000
       1.6406250       0.0000000
       1.6796875       0.0000000
       1.7187500       0.0000000
       1.7578125       0.0000000
       1.7968750       0.0000000
       1.8359375       0.0000000
       1.8750000       0.0000000
       1.9140625       0.0000000
       1.9531250       0.0000000
       1.9921875       0.0000000
       2.0312500       0.0000000
       2.0703125       0.2380000
       2.1093750       0.9190000
       2.1484375       1.9940000
       2.1875000       2.3510000
       2.2265625       3.3710000
       2.2656250       3.1240000
       2.3046875       3.4690000
       2.3437500       3.3560000
       2.3828125       1.1430000
       2.4218750       1.0480000
       2.4609375       1.2970000
       2.5000000       1.0930000
       2.5390625       1.2720000
       2.5781250       0.7720000
       2.6171875       0.5490000
       2.6562500       0.6790000
       2.6953125       0.9890000
       2.7343750       0.7320000
       2.7734375       0.6230000
       2.8125000       0.6920000
       2.8515625       0.6320000
       2.8906250       0.4920000
       2.9296875       0.4790000
       2.9687500       0.3890000
       3.0078125       0.2270000
       3.0468750       0.1850000
       3.0859375       0.2520000
       3.1250000       0.2810000
       3.1640625       0.1030000
       3.2031250       0.4010000
       3.2421875       0.2610000
       3.2812500       0.3190000
       3.3203125       0.5290000
       3.3593750       0.4260000
       3.3984375       0.3860000
       3.4375000       0.5810000
       3.4765625       0.8520000
       3.5156250       0.5550000
       3.5546875       0.4620000
       3.5937500       1.2760000
       3.6328125       1.0410000
       3.6718750       1.2740000
       3.7109375       1.5960000
       3.7500000       1.3190000
       3.7890625       1.9140000
       3.8281250       3.7280000
       3.8671875       2.4580000
       3.9062500       1.6890000
       3.9453125       1.5900000
       3.9843750       1.3860000
       4.0234375       1.2740000
       4.0625000       1.4580000
       4.1015625       1.2670000
       4.1406250       1.2230000
       4.1796875       0.9840000
       4.2187500       1.0630000
       4.2578125       1.0050000
       4.2968750       1.2480000
       4.3359375       1.2990000
       4.3750000       0.9880000
       4.4140625       1.0240000
       4.4531250       1.4570000
       4.4921875       2.4210000
       4.5312500       2.8320000
       4.5703125       1.8120000
       4.6093750       1.1990000
       4.6484375       1.1310000
       4.6875000       0.7830000
       4.7265625       0.6320000
       4.7656250       0.8180000
       4.8046875       0.4320000
       4.8437500       0.4110000
       4.8828125       0.4040000
       4.9218750       0.5690000
       4.9609375       0.4060000
       5.0000000       0.3440000
       5.0390625       0.3390000
       5.0781250       0.3210000
       5.1171875       0.2890000
       5.1562500       0.2720000
       5.1953125       0.1660000
       5.2343750       0.2010000
       5.2734375       0.2230000
       5.3125000       0.2810000
       5.3515625       0.2770000
       5.3906250       0.2020000
       5.4296875       0.2570000
       5.4687500       0.2300000
       5.5078125       0.2270000
       5.5468750       0.2580000
       5.5859375       0.5300000
       5.6250000       0.5450000
       5.6640625       0.5160000
       5.7031250       0.6040000
       5.7421875       0.6480000
       5.7812500       0.6810000
       5.8203125       0.9670000
       5.8593750       1.1350000
       5.8984375       1.0700000
       5.9375000       1.8580000
       5.9765625       1.0810000
       6.0156250       0.8960000
       6.0546875       1.1850000
       6.0937500       0.9190000
       6.1328125       0.8070000
       6.1718750       0.7330000
       6.2109375       0.6440000
       6.2500000       0.6270000
       6.2890625       0.8020000
       6.3281250       0.6890000
       6.3671875       0.7830000
       6.4062500       0.8570000
       6.4453125       0.7970000
       6.4843750       0.6730000
       6.5234375       0.9080000
       6.5625000       1.1860000
       6.6015625       1.3780000
       6.6406250       1.5960000
       6.6796875       2.3820000
       6.7187500       1.7660000
       6.7578125       1.5110000
       6.7968750       1.2550000
       6.8359375       0.9530000
       6.8750000       0.9420000
       6.9140625       1.0250000
       6.9531250       1.0350000
