#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  39 400
# Band-Index    1
   0.00000    -15.196732    -15.196732
   0.01913    -15.195735    -15.195734
   0.03826    -15.192746    -15.192745
   0.05739    -15.187765    -15.187765
   0.07651    -15.180802    -15.180801
   0.09564    -15.171866    -15.171865
   0.11477    -15.160971    -15.160971
   0.13390    -15.148133    -15.148133
   0.15303    -15.133374    -15.133374
   0.17216    -15.116721    -15.116720
   0.19129    -15.098218    -15.098217
   0.21042    -15.077987    -15.077986
   0.22954    -15.059602    -15.059602
   0.22954    -15.059602    -15.059602
   0.24059    -15.059282    -15.059281
   0.25163    -15.058321    -15.058321
   0.26267    -15.056722    -15.056722
   0.27371    -15.054486    -15.054486
   0.28476    -15.051615    -15.051615
   0.29580    -15.048113    -15.048113
   0.30684    -15.043986    -15.043986
   0.31788    -15.039248    -15.039247
   0.32892    -15.033919    -15.033918
   0.33997    -15.028060    -15.028059
   0.35101    -15.021907    -15.021907
   0.36205    -15.017565    -15.017564
   0.36205    -15.017565    -15.017564
   0.38414    -15.039389    -15.039389
   0.40622    -15.065964    -15.065964
   0.42831    -15.090416    -15.090415
   0.45040    -15.112476    -15.112476
   0.47249    -15.132060    -15.132060
   0.49458    -15.149117    -15.149117
   0.51666    -15.163608    -15.163608
   0.53875    -15.175503    -15.175503
   0.56084    -15.184780    -15.184779
   0.58293    -15.191416    -15.191415
   0.60501    -15.195403    -15.195402
   0.62710    -15.196732    -15.196732
 
# Band-Index    2
   0.62710    -14.668792    -14.668791
   0.60501    -14.705700    -14.705700
   0.58293    -14.744111    -14.744111
   0.56084    -14.780728    -14.780728
   0.53875    -14.815388    -14.815387
   0.51666    -14.847992    -14.847992
   0.49458    -14.878464    -14.878464
   0.47249    -14.906730    -14.906730
   0.45040    -14.932727    -14.932726
   0.42831    -14.956384    -14.956384
   0.40622    -14.977610    -14.977609
   0.38414    -14.996149    -14.996149
   0.36205    -15.006111    -15.006111
   0.36205    -15.006111    -15.006111
   0.35101    -15.012430    -15.012430
   0.33997    -15.019086    -15.019086
   0.32892    -15.025142    -15.025141
   0.31788    -15.030573    -15.030573
   0.30684    -15.035373    -15.035373
   0.29580    -15.039540    -15.039540
   0.28476    -15.043069    -15.043069
   0.27371    -15.045959    -15.045959
   0.26267    -15.048209    -15.048208
   0.25163    -15.049816    -15.049816
   0.24059    -15.050781    -15.050781
   0.22954    -15.051103    -15.051103
   0.22954    -15.051103    -15.051103
   0.21042    -15.030926    -15.030925
   0.19129    -15.005324    -15.005323
   0.17216    -14.977878    -14.977878
   0.15303    -14.948728    -14.948727
   0.13390    -14.917939    -14.917939
   0.11477    -14.885571    -14.885570
   0.09564    -14.851685    -14.851684
   0.07651    -14.816349    -14.816349
   0.05739    -14.779652    -14.779651
   0.03826    -14.741737    -14.741736
   0.01913    -14.703029    -14.703029
   0.00000    -14.668792    -14.668791
 
# Band-Index    3
   0.00000    -14.665226    -14.665225
   0.01913    -14.681084    -14.681084
   0.03826    -14.699092    -14.699092
   0.05739    -14.715592    -14.715592
   0.07651    -14.730452    -14.730452
   0.09564    -14.743629    -14.743628
