  #K-Path    Energy        Mo         S        Si
# Band-Index    1
    0.000  -15.1965     0.128     0.568     0.000
    0.019  -15.1955     0.128     0.568     0.000
    0.038  -15.1925     0.128     0.568     0.000
    0.057  -15.1876     0.128     0.568     0.000
    0.077  -15.1806     0.128     0.568     0.000
    0.096  -15.1717     0.128     0.568     0.000
    0.115  -15.1608     0.128     0.568     0.000
    0.134  -15.1479     0.128     0.567     0.000
    0.153  -15.1332     0.128     0.567     0.000
    0.172  -15.1165     0.128     0.572     0.000
    0.191  -15.0980     0.128     0.575     0.000
    0.210  -15.0778     0.125     0.577     0.000
    0.230  -15.0594     0.128     0.575     0.000
    0.230  -15.0594     0.128     0.575     0.000
    0.241  -15.0590     0.128     0.575     0.000
    0.252  -15.0581     0.128     0.575     0.000
    0.263  -15.0565     0.128     0.576     0.000
    0.274  -15.0543     0.128     0.574     0.000
    0.285  -15.0514     0.128     0.575     0.000
    0.296  -15.0479     0.128     0.575     0.000
    0.307  -15.0438     0.128     0.577     0.000
    0.318  -15.0390     0.130     0.580     0.000
    0.329  -15.0337     0.130     0.578     0.000
    0.340  -15.0278     0.128     0.578     0.000
    0.351  -15.0217     0.127     0.578     0.000
    0.362  -15.0173     0.126     0.574     0.000
    0.362  -15.0173     0.126     0.574     0.000
    0.384  -15.0392     0.130     0.572     0.000
    0.406  -15.0658     0.127     0.575     0.000
    0.428  -15.0902     0.128     0.573     0.000
    0.450  -15.1123     0.128     0.571     0.000
    0.472  -15.1319     0.128     0.568     0.000
    0.495  -15.1489     0.128     0.567     0.000
    0.517  -15.1634     0.128     0.568     0.000
    0.539  -15.1753     0.128     0.568     0.000
    0.561  -15.1846     0.128     0.568     0.000
    0.583  -15.1912     0.128     0.568     0.000
    0.605  -15.1952     0.128     0.568     0.000
    0.627  -15.1965     0.128     0.568     0.000
 
# Band-Index    2
    0.627  -14.6686     0.124     0.593     0.000
    0.605  -14.7055     0.126     0.587     0.000
    0.583  -14.7440     0.123     0.588     0.000
    0.561  -14.7806     0.125     0.585     0.000
    0.539  -14.8152     0.127     0.583     0.000
    0.517  -14.8478     0.125     0.584     0.000
    0.495  -14.8783     0.123     0.581     0.000
    0.472  -14.9066     0.125     0.580     0.000
    0.450  -14.9325     0.124     0.577     0.000
    0.428  -14.9562     0.124     0.572     0.000
    0.406  -14.9774     0.126     0.577     0.000
    0.384  -14.9960     0.129     0.579     0.000
    0.362  -15.0059     0.130     0.572     0.000
    0.362  -15.0059     0.130     0.572     0.000
    0.351  -15.0123     0.130     0.572     0.000
    0.340  -15.0189     0.130     0.572     0.000
    0.329  -15.0250     0.130     0.572     0.000
    0.318  -15.0304     0.130     0.572     0.000
    0.307  -15.0352     0.130     0.570     0.000
    0.296  -15.0394     0.130     0.570     0.000
    0.285  -15.0429     0.130     0.574     0.000
    0.274  -15.0458     0.130     0.575     0.000
    0.263  -15.0481     0.131     0.573     0.000
    0.252  -15.0497     0.128     0.576     0.000
    0.241  -15.0506     0.132     0.576     0.000
    0.230  -15.0509     0.126     0.579     0.000
    0.230  -15.0509     0.126     0.579     0.000
    0.210  -15.0307     0.125     0.572     0.000
    0.191  -15.0051     0.127     0.577     0.000
    0.172  -14.9777     0.128     0.576     0.000
    0.153  -14.9485     0.127     0.582     0.000
    0.134  -14.9178     0.125     0.583     0.000
    0.115  -14.8854     0.125     0.582     0.000
    0.096  -14.8515     0.125     0.586     0.000
    0.077  -14.8162     0.125     0.586     0.000
    0.057  -14.7795     0.125     0.586     0.000
    0.038  -14.7416     0.125     0.588     0.000
    0.019  -14.7029     0.124     0.590     0.000
    0.000  -14.6686     0.124     0.593     0.000
 
# Band-Index    3
