    # Energy          Mo           S          Si
   -15.07921    -0.82237    -3.66622    -0.00022
   -15.07621    -0.81835    -3.65041    -0.00022
   -15.07321    -0.81679    -3.64533    -0.00022
   -15.07021    -0.82501    -3.68316    -0.00022
   -15.06721    -0.83317    -3.72100    -0.00022
   -15.06421    -0.84140    -3.75886    -0.00022
   -15.06121    -0.84960    -3.79674    -0.00023
   -15.05821    -0.83613    -3.73954    -0.00022
   -15.05521    -0.82362    -3.68686    -0.00022
   -15.05221    -0.82445    -3.69265    -0.00022
   -15.04921    -0.82531    -3.69847    -0.00022
   -15.04621    -0.83810    -3.75761    -0.00022
   -15.04321    -0.86765    -3.89165    -0.00023
   -15.04021    -0.89718    -4.02575    -0.00024
   -15.03721    -0.92675    -4.15997    -0.00025
   -15.03421    -1.05877    -4.75630    -0.00028
   -15.03121    -1.09694    -4.92953    -0.00029
   -15.02821    -1.13513    -5.10249    -0.00030
   -15.02521    -1.17331    -5.27604    -0.00031
   -15.02221    -1.21147    -5.44908    -0.00032
   -15.01921    -1.24964    -5.62260    -0.00033
   -15.01621    -0.97311    -4.37985    -0.00026
   -15.01321    -0.85567    -3.85218    -0.00023
   -15.01021    -0.73828    -3.32440    -0.00020
   -15.00721    -1.15117    -5.19058    -0.00030
   -15.00421    -0.91235    -4.11714    -0.00024
   -15.00121    -0.63212    -2.85343    -0.00017
   -14.99821    -0.42858    -1.93538    -0.00011
   -14.99521    -0.36278    -1.63841    -0.00010
   -14.99221    -0.29694    -1.34136    -0.00008
   -14.98921    -0.25027    -1.13104    -0.00007
   -14.98621    -0.22519    -1.01859    -0.00006
   -14.98321    -0.20009    -0.90605    -0.00005
   -14.98021    -0.41551    -1.88468    -0.00011
   -14.97721    -0.50399    -2.28750    -0.00013
   -14.97421    -0.62627    -2.84317    -0.00016
   -14.97121    -0.74854    -3.39897    -0.00020
   -14.96821    -0.86691    -3.93721    -0.00023
   -14.96521    -0.95409    -4.33468    -0.00025
   -14.96221    -0.86631    -3.93875    -0.00023
   -14.95921    -0.92265    -4.19633    -0.00024
   -14.95621    -0.97890    -4.45394    -0.00026
   -14.95321    -1.03522    -4.71141    -0.00027
   -14.95021    -1.09151    -4.96904    -0.00029
   -14.94721    -1.14778    -5.22701    -0.00030
   -14.94421    -1.24601    -5.67666    -0.00033
   -14.94121    -1.37570    -6.27035    -0.00036
   -14.93821    -0.85186    -3.88453    -0.00022
   -14.93521    -0.87742    -4.00341    -0.00023
   -14.93221    -0.90299    -4.12222    -0.00024
   -14.92921    -0.72445    -3.31018    -0.00019
   -14.92621    -0.74649    -3.41256    -0.00020
   -14.92321    -0.76854    -3.51502    -0.00020
   -14.92021    -0.79059    -3.61746    -0.00021
   -14.91721    -0.81066    -3.71091    -0.00021
   -14.91421    -0.81932    -3.75206    -0.00021
   -14.91121    -0.82799    -3.79322    -0.00022
   -14.90821    -0.83664    -3.83438    -0.00022
   -14.90521    -0.84528    -3.87553    -0.00022
   -14.90221    -0.78421    -3.59880    -0.00020
   -14.89921    -0.78429    -3.60076    -0.00020
   -14.89621    -0.78431    -3.60277    -0.00020
   -14.89321    -0.78436    -3.60468    -0.00020
   -14.89021    -0.78441    -3.60662    -0.00020
   -14.88721    -0.78933    -3.63083    -0.00021
   -14.88421    -0.80200    -3.69066    -0.00021
   -14.88121    -0.81473    -3.75048    -0.00021
   -14.87821    -0.82752    -3.81073    -0.00022
   -14.87521    -0.84043    -3.87147    -0.00022
   -14.87221    -0.85335    -3.93222    -0.00022
   -14.86921    -0.86625    -3.99298    -0.00023
   -14.86621    -0.87514    -4.03552    -0.00023
   -14.86321    -0.85769    -3.95894    -0.00022
   -14.86021    -0.94605    -4.37071    -0.00025
   -14.85721    -0.92592    -4.27994    -0.00024
   -14.85421    -0.90483    -4.18470    -0.00023
   -14.85121    -0.89158    -4.12532    -0.00023
   -14.84821    -0.88077    -4.07719    -0.00023
   -14.84521    -0.87081    -4.03294    -0.00023
   -14.84221    -0.86325    -3.99987    -0.00022
   -14.83921    -0.85569    -3.96679    -0.00022
   -14.83621    -0.85323    -3.95720    -0.00022
   -14.83321    -0.85604    -3.97194    -0.00022
   -14.83021    -0.85885    -3.98669    -0.00022
   -14.82721    -0.86167    -4.00147    -0.00022
   -14.82421    -0.86816    -4.03346    -0.00022
   -14.82121    -0.87678    -4.07576    -0.00023
   -14.81821    -0.88532    -4.11801    -0.00023
   -14.81521    -0.89056    -4.14412    -0.00023
   -14.81221    -0.89231    -4.15390    -0.00023
   -14.80921    -0.89410    -4.16373    -0.00023
   -14.80621    -0.89587    -4.17353    -0.00023
   -14.80321    -0.83827    -3.90783    -0.00022
   -14.80021    -0.83821    -3.90889    -0.00022
   -14.79721    -0.83813    -3.91005    -0.00022
   -14.79421    -0.83809    -3.91113    -0.00022
   -14.79121    -0.83930    -3.91808    -0.00022
   -14.78821    -0.84636    -3.95237    -0.00022
   -14.78521    -0.85339    -3.98668    -0.00022
   -14.78221    -0.86045    -4.02097    -0.00022
   -14.77921    -2.59946   -12.16047    -0.00067
   -14.77621    -1.57618    -7.37609    -0.00040
   -14.77321    -1.28453    -6.01397    -0.00033
   -14.77021    -1.15775    -5.42273    -0.00030
   -14.76721    -1.03890    -4.86876    -0.00027
   -14.76421    -0.99108    -4.64669    -0.00025
   -14.76121    -0.94326    -4.42454    -0.00024
   -14.75821    -0.89544    -4.20237    -0.00023
   -14.75521    -0.84821    -3.98289    -0.00022
   -14.75221    -0.81661    -3.83617    -0.00021
   -14.74921    -0.79059    -3.71512    -0.00020
   -14.74621    -0.76473    -3.59476    -0.00020
   -14.74321    -0.73884    -3.47434    -0.00019
   -14.74021    -0.71296    -3.35388    -0.00018
   -14.73721    -0.73249    -3.44840    -0.00019
   -14.73421    -0.71255    -3.35539    -0.00018
   -14.73121    -0.65106    -3.06736    -0.00017
   -14.72821    -0.66724    -3.14591    -0.00017
   -14.72521    -0.64638    -3.04911    -0.00016
   -14.72221    -0.62555    -2.95231    -0.00016
   -14.71921    -0.60470    -2.85555    -0.00015
   -14.71621    -0.59046    -2.78978    -0.00015
   -14.71321    -0.57876    -2.73597    -0.00015
   -14.71021    -0.56610    -2.67738    -0.00014
   -14.70721    -0.55346    -2.61874    -0.00014
   -14.70421    -0.54077    -2.56017    -0.00014
   -14.70121    -0.52810    -2.50155    -0.00013
   -14.69821    -0.51687    -2.44961    -0.00013
   -14.69521    -0.50727    -2.40556    -0.00013
   -14.69221    -0.49768    -2.36151    -0.00013
   -14.68921    -0.49577    -2.35363    -0.00013
   -14.68621    -0.49742    -2.36251    -0.00013
   -14.68321    -0.49898    -2.37099    -0.00013
   -14.68021    -1.62963    -7.74761    -0.00041
   -14.67721    -1.22054    -5.80600    -0.00031
   -14.67421    -1.15598    -5.50170    -0.00029
   -14.67121    -1.09145    -5.19764    -0.00028
   -14.66821    -0.96040    -4.57662    -0.00024
   -14.66521    -0.95549    -4.55524    -0.00024
   -14.66221    -0.95062    -4.53388    -0.00024
   -14.65921    -0.94653    -4.51624    -0.00024
   -14.65621    -0.96103    -4.58745    -0.00024
   -14.65321    -0.97559    -4.65834    -0.00024
   -14.65021    -0.99013    -4.72974    -0.00025
   -14.64721    -1.00465    -4.80084    -0.00025
   -14.64421    -1.01918    -4.87214    -0.00026
   -14.64121    -1.15826    -5.53995    -0.00029
   -14.63821    -1.16132    -5.55574    -0.00029
   -14.63521    -1.09698    -5.24986    -0.00027
   -14.63221    -1.22849    -5.88188    -0.00031
   -14.62921    -1.24562    -5.96695    -0.00031
   -14.62621    -1.26248    -6.05071    -0.00032
   -14.62321    -1.24183    -5.95449    -0.00031
   -14.62021    -1.15217    -5.52589    -0.00029
   -14.61721    -1.06249    -5.09730    -0.00027
   -14.61421    -0.97286    -4.66880    -0.00024
   -14.61121    -0.88320    -4.24019    -0.00022
   -14.60821    -0.79359    -3.81162    -0.00020
   -14.60521    -0.70401    -3.38297    -0.00018
   -14.60221    -0.61441    -2.95423    -0.00015
   -14.59921    -0.59925    -2.88304    -0.00015
   -14.59621    -0.62876    -3.02633    -0.00016
   -14.59321    -0.65827    -3.16961    -0.00016
   -14.59021    -0.68779    -3.31292    -0.00017
   -14.58721    -0.71731    -3.45623    -0.00018
   -14.58421    -0.74682    -3.59961    -0.00019
   -14.58121    -0.77633    -3.74294    -0.00019
   -14.57821    -0.80580    -3.88644    -0.00020
   -14.57521    -0.84746    -4.09072    -0.00021
   -14.57221    -0.97275    -4.70311    -0.00024
   -14.56921    -0.91471    -4.42527    -0.00023
   -14.56621    -0.85665    -4.14730    -0.00021
   -14.56321    -0.78553    -3.80495    -0.00019
   -14.56021    -0.74463    -3.60861    -0.00018
   -14.55721    -0.71103    -3.44753    -0.00018
   -14.55421    -0.68801    -3.33753    -0.00017
   -14.55121    -0.71967    -3.49255    -0.00018
   -14.54821    -0.75133    -3.64761    -0.00018
   -14.54521    -0.78297    -3.80265    -0.00019
   -14.54221    -0.91761    -4.45815    -0.00023
   -14.53921    -0.94674    -4.60135    -0.00023
   -14.53621    -0.96154    -4.67518    -0.00024
   -14.53321    -0.97629    -4.74894    -0.00024
   -14.53021    -0.99106    -4.82264    -0.00024
   -14.52721    -1.00589    -4.89666    -0.00025
   -14.52421    -1.02063    -4.97070    -0.00025
   -14.52121    -1.03542    -5.04468    -0.00025
   -14.51821    -0.90794    -4.42790    -0.00022
   -14.51521    -0.90746    -4.42689    -0.00022
   -14.51221    -0.90836    -4.43267    -0.00022
   -14.50921    -0.91026    -4.44374    -0.00022
   -14.50621    -0.91223    -4.45483    -0.00022
   -14.50321    -0.90624    -4.42754    -0.00022
   -14.50021    -0.89733    -4.38592    -0.00022
   -14.49721    -0.89066    -4.35554    -0.00022
   -14.49421    -0.88560    -4.33287    -0.00022
   -14.49121    -0.88052    -4.31020    -0.00021
   -14.48821    -0.87545    -4.28754    -0.00021
   -14.48521    -0.87041    -4.26487    -0.00021
   -14.48221    -0.86535    -4.24219    -0.00021
