    # Energy          Mo           S          Si
   -15.07921     0.82240     3.66629     0.00022
   -15.07621     0.81837     3.65049     0.00022
   -15.07321     0.81675     3.64515     0.00022
   -15.07021     0.82494     3.68304     0.00022
   -15.06721     0.83316     3.72083     0.00022
   -15.06421     0.84138     3.75868     0.00022
   -15.06121     0.84958     3.79653     0.00023
   -15.05821     0.83618     3.73990     0.00022
   -15.05521     0.82363     3.68683     0.00022
   -15.05221     0.82445     3.69263     0.00022
   -15.04921     0.82530     3.69841     0.00022
   -15.04621     0.83792     3.75682     0.00022
   -15.04321     0.86748     3.89090     0.00023
   -15.04021     0.89705     4.02513     0.00024
   -15.03721     0.92662     4.15922     0.00025
   -15.03421     1.05856     4.75544     0.00028
   -15.03121     1.09675     4.92878     0.00029
   -15.02821     1.13491     5.10192     0.00030
   -15.02521     1.17313     5.27507     0.00031
   -15.02221     1.21131     5.44825     0.00032
   -15.01921     1.24943     5.62105     0.00033
   -15.01621     0.97371     4.38259     0.00026
   -15.01321     0.85627     3.85476     0.00023
   -15.01021     0.73885     3.32695     0.00020
   -15.00721     1.15238     5.19584     0.00030
   -15.00421     0.91354     4.12231     0.00024
   -15.00121     0.63348     2.85963     0.00017
   -14.99821     0.42890     1.93685     0.00011
   -14.99521     0.36310     1.63982     0.00010
   -14.99221     0.29726     1.34275     0.00008
   -14.98921     0.25041     1.13158     0.00007
   -14.98621     0.22531     1.01910     0.00006
   -14.98321     0.20021     0.90667     0.00005
   -14.98021     0.41522     1.88337     0.00011
   -14.97721     0.50339     2.28474     0.00013
   -14.97421     0.62568     2.84046     0.00016
   -14.97121     0.74796     3.39622     0.00020
   -14.96821     0.86647     3.93523     0.00023
   -14.96521     0.95364     4.33273     0.00025
   -14.96221     0.86605     3.93752     0.00023
   -14.95921     0.92237     4.19503     0.00024
   -14.95621     0.97866     4.45263     0.00026
   -14.95321     1.03494     4.71026     0.00027
   -14.95021     1.09126     4.96786     0.00029
   -14.94721     1.14752     5.22558     0.00030
   -14.94421     1.24545     5.67395     0.00033
   -14.94121     1.37507     6.26679     0.00036
   -14.93821     0.85166     3.88394     0.00022
   -14.93521     0.87730     4.00280     0.00023
   -14.93221     0.90288     4.12164     0.00024
   -14.92921     0.72435     3.30966     0.00019
   -14.92621     0.74639     3.41206     0.00020
   -14.92321     0.76845     3.51450     0.00020
   -14.92021     0.79048     3.61693     0.00021
   -14.91721     0.81061     3.71072     0.00021
   -14.91421     0.81929     3.75185     0.00021
   -14.91121     0.82795     3.79298     0.00022
   -14.90821     0.83660     3.83414     0.00022
   -14.90521     0.84525     3.87535     0.00022
   -14.90221     0.78419     3.59874     0.00020
   -14.89921     0.78428     3.60073     0.00020
   -14.89621     0.78432     3.60276     0.00020
   -14.89321     0.78436     3.60464     0.00020
   -14.89021     0.78441     3.60661     0.00020
   -14.88721     0.78926     3.63052     0.00021
   -14.88421     0.80197     3.69036     0.00021
   -14.88121     0.81464     3.75014     0.00021
   -14.87821     0.82746     3.81042     0.00022
   -14.87521     0.84039     3.87118     0.00022
   -14.87221     0.85328     3.93185     0.00022
   -14.86921     0.86619     3.99265     0.00023
   -14.86621     0.87524     4.03588     0.00023
