#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  39 440
# Band-Index    1
   0.00000    -15.420225    -15.420136
   0.01904    -15.419440    -15.419351
   0.03808    -15.417096    -15.417007
   0.05711    -15.413218    -15.413129
   0.07615    -15.407858    -15.407769
   0.09519    -15.401096    -15.401007
   0.11423    -15.393057    -15.392968
   0.13327    -15.383943    -15.383854
   0.15231    -15.374083    -15.373994
   0.17134    -15.364035    -15.363946
   0.19038    -15.354767    -15.354679
   0.20942    -15.347848    -15.347760
   0.22846    -15.345210    -15.345122
   0.22846    -15.345210    -15.345122
   0.23946    -15.345028    -15.344940
   0.25045    -15.344489    -15.344401
   0.26145    -15.343606    -15.343518
   0.27245    -15.342406    -15.342318
   0.28344    -15.340929    -15.340841
   0.29444    -15.339230    -15.339142
   0.30544    -15.337386    -15.337299
   0.31643    -15.335499    -15.335412
   0.32743    -15.333705    -15.333618
   0.33843    -15.332172    -15.332085
   0.34942    -15.331104    -15.331018
   0.36042    -15.330725    -15.330639
   0.36042    -15.330725    -15.330639
   0.38245    -15.332755    -15.332668
   0.40447    -15.339089    -15.339002
   0.42650    -15.348922    -15.348834
   0.44852    -15.360638    -15.360550
   0.47055    -15.372794    -15.372706
   0.49258    -15.384405    -15.384317
   0.51460    -15.394854    -15.394765
   0.53663    -15.403755    -15.403666
   0.55865    -15.410867    -15.410778
   0.58068    -15.416038    -15.415949
   0.60271    -15.419174    -15.419085
   0.62473    -15.420225    -15.420136
 
# Band-Index    2
   0.62473    -14.999001    -14.998910
   0.60271    -15.011388    -15.011299
   0.58068    -15.038152    -15.038064
   0.55865    -15.066968    -15.066881
   0.53663    -15.095135    -15.095049
   0.51460    -15.121816    -15.121730
   0.49258    -15.146510    -15.146424
   0.47055    -15.168764    -15.168678
   0.44852    -15.188041    -15.187956
   0.42650    -15.203634    -15.203550
   0.40447    -15.214709    -15.214624
   0.38245    -15.220840    -15.220756
   0.36042    -15.223201    -15.223116
   0.36042    -15.223201    -15.223116
   0.34942    -15.223535    -15.223451
   0.33843    -15.223968    -15.223884
   0.32743    -15.224695    -15.224611
   0.31643    -15.225738    -15.225654
   0.30544    -15.227011    -15.226926
   0.29444    -15.228386    -15.228300
   0.28344    -15.229737    -15.229651
   0.27245    -15.230965    -15.230878
   0.26145    -15.231990    -15.231903
   0.25045    -15.232758    -15.232671
   0.23946    -15.233233    -15.233145
   0.22846    -15.233393    -15.233306
   0.22846    -15.233393    -15.233306
   0.20942    -15.229411    -15.229324
   0.19038    -15.218471    -15.218384
   0.17134    -15.202542    -15.202455
   0.15231    -15.183249    -15.183162
   0.13327    -15.161641    -15.161554
   0.11423    -15.138390    -15.138303
   0.09519    -15.113969    -15.113882
   0.07615    -15.088769    -15.088682
   0.05711    -15.063186    -15.063098
   0.03808    -15.037764    -15.037676
   0.01904    -15.013784    -15.013694
   0.00000    -14.999001    -14.998910
 
# Band-Index    3
   0.00000    -14.981140    -14.981050
   0.01904    -14.978336    -14.978244
   0.03808    -14.981764    -14.981673
   0.05711    -14.988681    -14.988591
   0.07615    -14.996772    -14.996682
   0.09519    -15.004988    -15.004898
   0.11423    -15.012739    -15.012650
   0.13327    -15.019670    -15.019581
   0.15231    -15.025555    -15.025466
   0.17134    -15.030250    -15.030161
   0.19038    -15.033660    -15.033571
   0.20942    -15.035728    -15.035639
   0.22846    -15.036420    -15.036331
   0.22846    -15.036420    -15.036331
   0.23946    -15.041507    -15.041416
   0.25045    -15.052885    -15.052790
   0.26145    -15.066249    -15.066152
   0.27245    -15.079893    -15.079794
   0.28344    -15.093121    -15.093021
   0.29444    -15.105543    -15.105442
   0.30544    -15.116848    -15.116746
   0.31643    -15.126737    -15.126634
   0.32743    -15.134904    -15.134800
   0.33843    -15.141064    -15.140959
   0.34942    -15.145018    -15.144914
   0.36042    -15.146730    -15.146626
   0.36042    -15.146730    -15.146626
   0.38245    -15.144722    -15.144618
   0.40447    -15.136358    -15.136254
   0.42650    -15.123735    -15.123632
   0.44852    -15.108254    -15.108152
   0.47055    -15.090835    -15.090735
   0.49258    -15.072211    -15.072112
   0.51460    -15.053113    -15.053015
   0.53663    -15.034400    -15.034303
   0.55865    -15.017125    -15.017029
   0.58068    -15.002479    -15.002384
   0.60271    -14.990912    -14.990820
   0.62473    -14.981140    -14.981050
 
# Band-Index    4
   0.62473    -14.960006    -14.959914
   0.60271    -14.946771    -14.946678
   0.58068    -14.934341    -14.934245
   0.55865    -14.925288    -14.925191
   0.53663    -14.916052    -14.915955
   0.51460    -14.905571    -14.905475
   0.49258    -14.893517    -14.893420
   0.47055    -14.879769    -14.879673
   0.44852    -14.864302    -14.864205
   0.42650    -14.847145    -14.847049
   0.40447    -14.828405    -14.828309
   0.38245    -14.808420    -14.808324
   0.36042    -14.791349    -14.791254
   0.36042    -14.791349    -14.791254
   0.34942    -14.802337    -14.802237
   0.33843    -14.819259    -14.819157
   0.32743    -14.837896    -14.837794
   0.31643    -14.857119    -14.857017
   0.30544    -14.876469    -14.876366
   0.29444    -14.895693    -14.895590
   0.28344    -14.914603    -14.914499
   0.27245    -14.932999    -14.932895
   0.26145    -14.950578    -14.950472
   0.25045    -14.966709    -14.966601
   0.23946    -14.979730    -14.979619
   0.22846    -14.985362    -14.985248
   0.22846    -14.985362    -14.985248
   0.20942    -14.984671    -14.984558
   0.19038    -14.982615    -14.982502
   0.17134    -14.979250    -14.979137
   0.15231    -14.974679    -14.974568
   0.13327    -14.969077    -14.968966
   0.11423    -14.962723    -14.962613
   0.09519    -14.956071    -14.955962
   0.07615    -14.949862    -14.949756
   0.05711    -14.945403    -14.945299
