    # Energy          Mo          Au           S          Si
   -14.98209     0.31695     0.00144     1.99819     0.05059
   -14.97909     0.31377     0.00134     1.98137     0.05033
   -14.97609     0.28073     0.00119     1.77475     0.04518
   -14.97309     0.24777     0.00105     1.56818     0.04002
   -14.97009     0.21482     0.00090     1.36142     0.03484
   -14.96709     0.18190     0.00075     1.15461     0.02964
   -14.96409     0.14904     0.00061     0.94776     0.02442
   -14.96109     0.18307     0.00204     1.15858     0.02936
   -14.95809     0.09081     0.00209     0.56753     0.01382
   -14.95509     0.11476     0.00261     0.71736     0.01747
   -14.95209     0.13869     0.00311     0.86718     0.02112
   -14.94909     0.15605     0.00341     0.97609     0.02377
   -14.94609     0.17176     0.00366     1.07473     0.02617
   -14.94309     0.85672     0.01757     5.37671     0.13104
   -14.94009     0.61290     0.01214     3.84745     0.09377
   -14.93709     0.51364     0.00993     3.22727     0.07874
   -14.93409     0.54026     0.01014     3.39536     0.08282
   -14.93109     0.59492     0.01066     3.73996     0.09123
   -14.92809     0.77229     0.01239     4.86341     0.11888
   -14.92509     0.99990     0.01351     6.31857     0.15525
   -14.92209     0.99719     0.01337     6.30034     0.15473
   -14.91909     1.08380     0.01415     6.83857     0.16737
   -14.91609     1.17049     0.01486     7.37681     0.18002
   -14.91309     1.16533     0.01469     7.33586     0.17859
   -14.91009     0.83750     0.01123     5.25842     0.12741
   -14.90709     1.33448     0.01939     8.14100     0.18481
   -14.90409     1.18373     0.01644     7.25090     0.16604
   -14.90109     1.14970     0.01524     7.04559     0.16133
   -14.89809     1.17628     0.01478     7.19719     0.16396
   -14.89509     1.65683     0.01815    10.11831     0.22926
   -14.89209     1.22312     0.01346     7.55979     0.17589
   -14.88909     0.90133     0.01052     5.59733     0.13141
   -14.88609     0.85266     0.00990     5.30378     0.12488
   -14.88309     0.83241     0.00954     5.18391     0.12231
   -14.88009     0.81127     0.00918     5.05844     0.11958
   -14.87709     0.79007     0.00882     4.93241     0.11685
   -14.87409     0.76895     0.00846     4.80673     0.11411
