  #K-Path    Energy        Mo        Au         S        Si
# Band-Index    1
    0.000  -15.4201     0.097     0.001     0.564     0.012
    0.019  -15.4194     0.097     0.001     0.564     0.012
    0.038  -15.4170     0.097     0.001     0.565     0.012
    0.057  -15.4131     0.097     0.001     0.567     0.012
    0.076  -15.4078     0.097     0.001     0.566     0.012
    0.095  -15.4010     0.098     0.001     0.565     0.013
    0.114  -15.3930     0.096     0.001     0.569     0.012
    0.133  -15.3839     0.097     0.001     0.567     0.012
    0.152  -15.3740     0.095     0.001     0.570     0.011
    0.171  -15.3639     0.097     0.000     0.568     0.012
    0.190  -15.3547     0.096     0.000     0.569     0.012
    0.209  -15.3478     0.098     0.000     0.570     0.013
    0.228  -15.3451     0.096     0.000     0.568     0.013
    0.228  -15.3451     0.096     0.000     0.568     0.013
    0.239  -15.3449     0.096     0.000     0.569     0.013
    0.250  -15.3444     0.095     0.000     0.568     0.013
    0.261  -15.3435     0.094     0.000     0.565     0.013
    0.272  -15.3423     0.093     0.000     0.566     0.014
    0.283  -15.3408     0.093     0.000     0.567     0.014
    0.294  -15.3391     0.096     0.000     0.569     0.014
    0.305  -15.3373     0.095     0.000     0.573     0.014
    0.316  -15.3354     0.093     0.000     0.567     0.014
    0.327  -15.3336     0.093     0.000     0.570     0.012
    0.338  -15.3321     0.094     0.000     0.573     0.012
    0.349  -15.3310     0.096     0.000     0.571     0.012
    0.360  -15.3306     0.095     0.000     0.572     0.013
    0.360  -15.3306     0.095     0.000     0.572     0.013
    0.382  -15.3327     0.093     0.000     0.569     0.013
    0.404  -15.3390     0.093     0.000     0.571     0.013
    0.426  -15.3488     0.095     0.000     0.568     0.013
    0.449  -15.3606     0.095     0.000     0.566     0.014
    0.471  -15.3727     0.094     0.000     0.565     0.013
    0.493  -15.3843     0.099     0.001     0.564     0.012
    0.515  -15.3948     0.098     0.001     0.565     0.012
    0.537  -15.4037     0.098     0.001     0.566     0.013
    0.559  -15.4108     0.097     0.001     0.565     0.012
    0.581  -15.4159     0.097     0.001     0.566     0.012
    0.603  -15.4191     0.097     0.001     0.564     0.012
    0.625  -15.4201     0.097     0.001     0.564     0.012
 
# Band-Index    2
    0.625  -14.9989     0.088     0.000     0.585     0.017
    0.603  -15.0113     0.092     0.000     0.584     0.015
    0.581  -15.0381     0.092     0.000     0.579     0.014
    0.559  -15.0669     0.093     0.000     0.579     0.014
