  #K-Path    Energy        Mo        Au         S        Si
# Band-Index    1
    0.000  -15.4202     0.097     0.001     0.564     0.012
    0.019  -15.4194     0.097     0.001     0.563     0.012
    0.038  -15.4171     0.097     0.001     0.565     0.012
    0.057  -15.4132     0.097     0.001     0.567     0.012
    0.076  -15.4079     0.097     0.001     0.566     0.012
    0.095  -15.4011     0.098     0.001     0.565     0.013
    0.114  -15.3931     0.096     0.001     0.569     0.012
    0.133  -15.3839     0.097     0.001     0.567     0.012
    0.152  -15.3741     0.095     0.001     0.570     0.011
    0.171  -15.3640     0.097     0.000     0.568     0.012
    0.190  -15.3548     0.096     0.000     0.569     0.012
    0.209  -15.3478     0.097     0.000     0.570     0.013
    0.228  -15.3452     0.096     0.000     0.568     0.013
    0.228  -15.3452     0.096     0.000     0.568     0.013
    0.239  -15.3450     0.096     0.000     0.569     0.013
    0.250  -15.3445     0.095     0.000     0.568     0.013
    0.261  -15.3436     0.094     0.000     0.565     0.013
    0.272  -15.3424     0.093     0.000     0.566     0.014
    0.283  -15.3409     0.093     0.000     0.568     0.014
    0.294  -15.3392     0.096     0.000     0.569     0.014
    0.305  -15.3374     0.095     0.000     0.573     0.014
    0.316  -15.3355     0.093     0.000     0.567     0.014
    0.327  -15.3337     0.093     0.000     0.570     0.012
    0.338  -15.3322     0.094     0.000     0.573     0.012
    0.349  -15.3311     0.096     0.000     0.571     0.012
    0.360  -15.3307     0.095     0.000     0.572     0.013
    0.360  -15.3307     0.095     0.000     0.572     0.013
    0.382  -15.3328     0.093     0.000     0.569     0.013
    0.404  -15.3391     0.093     0.000     0.571     0.013
    0.426  -15.3489     0.095     0.000     0.568     0.013
    0.449  -15.3606     0.095     0.000     0.566     0.014
    0.471  -15.3728     0.094     0.000     0.565     0.013
    0.493  -15.3844     0.099     0.001     0.564     0.012
    0.515  -15.3949     0.098     0.001     0.565     0.012
    0.537  -15.4038     0.098     0.001     0.566     0.013
    0.559  -15.4109     0.097     0.001     0.565     0.012
    0.581  -15.4160     0.097     0.001     0.566     0.012
    0.603  -15.4192     0.097     0.001     0.564     0.012
