#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  39 416
# Band-Index    1
   0.00000    -24.451233    -24.451245
   0.01913    -24.451227    -24.451239
   0.03826    -24.451226    -24.451239
   0.05738    -24.451230    -24.451242
   0.07651    -24.451233    -24.451246
   0.09564    -24.451234    -24.451246
   0.11477    -24.451231    -24.451244
   0.13390    -24.451237    -24.451249
   0.15303    -24.451236    -24.451249
   0.17215    -24.451234    -24.451246
   0.19128    -24.451232    -24.451244
   0.21041    -24.451235    -24.451247
   0.22954    -24.451236    -24.451248
   0.22954    -24.451236    -24.451248
   0.24058    -24.451234    -24.451246
   0.25162    -24.451232    -24.451245
   0.26266    -24.451231    -24.451243
   0.27371    -24.451230    -24.451242
   0.28475    -24.451228    -24.451241
   0.29579    -24.451226    -24.451239
   0.30683    -24.451228    -24.451240
   0.31787    -24.451226    -24.451239
   0.32892    -24.451226    -24.451238
   0.33996    -24.451226    -24.451239
   0.35100    -24.451227    -24.451239
   0.36204    -24.451229    -24.451242
   0.36204    -24.451230    -24.451242
   0.38413    -24.451228    -24.451241
   0.40621    -24.451230    -24.451242
   0.42830    -24.451230    -24.451243
   0.45039    -24.451232    -24.451245
   0.47247    -24.451229    -24.451242
   0.49456    -24.451229    -24.451242
   0.51665    -24.451228    -24.451240
   0.53873    -24.451229    -24.451242
   0.56082    -24.451232    -24.451244
   0.58291    -24.451233    -24.451245
   0.60499    -24.451229    -24.451241
   0.62708    -24.451233    -24.451245
 
# Band-Index    2
   0.62708    -15.197497    -15.197521
   0.60499    -15.196168    -15.196191
   0.58291    -15.192181    -15.192205
   0.56082    -15.185545    -15.185569
   0.53873    -15.176271    -15.176295
   0.51665    -15.164377    -15.164401
   0.49456    -15.149889    -15.149912
   0.47247    -15.132834    -15.132858
   0.45039    -15.113254    -15.113277
   0.42830    -15.091198    -15.091222
   0.40621    -15.066751    -15.066775
   0.38413    -15.040175    -15.040199
   0.36204    -15.018225    -15.018249
   0.36204    -15.018225    -15.018249
   0.35100    -15.022815    -15.022839
   0.33996    -15.029036    -15.029060
   0.32892    -15.034921    -15.034945
   0.31787    -15.040263    -15.040287
   0.30683    -15.045012    -15.045035
   0.29579    -15.049143    -15.049167
   0.28475    -15.052648    -15.052672
   0.27371    -15.055521    -15.055545
   0.26266    -15.057759    -15.057783
   0.25162    -15.059359    -15.059383
   0.24058    -15.060320    -15.060344
   0.22954    -15.060641    -15.060664
   0.22954    -15.060641    -15.060664
   0.21041    -15.078809    -15.078833
   0.19128    -15.099013    -15.099037
   0.17215    -15.117505    -15.117529
   0.15303    -15.134152    -15.134176
   0.13390    -15.148908    -15.148931
   0.11477    -15.161742    -15.161766
   0.09564    -15.172635    -15.172658
   0.07651    -15.181569    -15.181593
   0.05738    -15.188531    -15.188555
   0.03826    -15.193510    -15.193534
   0.01913    -15.196500    -15.196524
   0.00000    -15.197497    -15.197521
 
# Band-Index    3
   0.00000    -14.669791    -14.669815
   0.01913    -14.703785    -14.703809
   0.03826    -14.742520    -14.742544
   0.05738    -14.780441    -14.780465
   0.07651    -14.817139    -14.817163
   0.09564    -14.852473    -14.852498
   0.11477    -14.886355    -14.886380
   0.13390    -14.918719    -14.918743
   0.15303    -14.949502    -14.949527
   0.17215    -14.978646    -14.978671
   0.19128    -15.006080    -15.006104
   0.21041    -15.031655    -15.031679
   0.22954    -15.051616    -15.051640
   0.22954    -15.051616    -15.051640
   0.24058    -15.051294    -15.051318
   0.25162    -15.050330    -15.050354
   0.26266    -15.048723    -15.048747
   0.27371    -15.046475    -15.046499
   0.28475    -15.043587    -15.043611
   0.29579    -15.040062    -15.040086
   0.30683    -15.035899    -15.035923
   0.31787    -15.031104    -15.031129
   0.32892    -15.025685    -15.025709
   0.33996    -15.019652    -15.019676
   0.35100    -15.013062    -15.013086
   0.36204    -15.007679    -15.007703
   0.36204    -15.007679    -15.007703
   0.38413    -14.997003    -14.997027
   0.40621    -14.978432    -14.978456
   0.42830    -14.957199    -14.957223
   0.45039    -14.933542    -14.933566
   0.47247    -14.907546    -14.907570
   0.49456    -14.879283    -14.879307
   0.51665    -14.848816    -14.848840
   0.53873    -14.816216    -14.816240
   0.56082    -14.781563    -14.781587
   0.58291    -14.744953    -14.744978
   0.60499    -14.706553    -14.706577
   0.62708    -14.669791    -14.669815
 
# Band-Index    4
   0.62708    -14.666360    -14.666385
   0.60499    -14.698259    -14.698283
   0.58291    -14.736574    -14.736598
   0.56082    -14.773169    -14.773193
   0.53873    -14.807821    -14.807845
   0.51665    -14.840425    -14.840449
   0.49456    -14.870901    -14.870925
   0.47247    -14.899180    -14.899204
   0.45039    -14.925202    -14.925226
   0.42830    -14.948906    -14.948930
   0.40621    -14.970238    -14.970262
   0.38413    -14.989129    -14.989153
   0.36204    -15.004036    -15.004060
   0.36204    -15.004036    -15.004060
   0.35100    -14.993156    -14.993180
   0.33996    -14.977621    -14.977645
   0.32892    -14.961163    -14.961187
   0.31787    -14.944047    -14.944072
   0.30683    -14.926345    -14.926369
   0.29579    -14.908086    -14.908110
   0.28475    -14.889288    -14.889313
   0.27371    -14.869967    -14.869991
   0.26266    -14.850134    -14.850158
   0.25162    -14.829803    -14.829827
   0.24058    -14.808987    -14.809011
   0.22954    -14.788073    -14.788098
   0.22954    -14.788073    -14.788098
   0.21041    -14.787182    -14.787206
   0.19128    -14.784509    -14.784533
   0.17215    -14.780058    -14.780083
   0.15303    -14.773837    -14.773861
   0.13390    -14.765855    -14.765879
   0.11477    -14.756125    -14.756149
   0.09564    -14.744663    -14.744687
   0.07651    -14.731490    -14.731515
   0.05738    -14.716635    -14.716660
   0.03826    -14.700145    -14.700169
   0.01913    -14.682164    -14.682188
   0.00000    -14.666360    -14.666385
 
# Band-Index    5
   0.00000    -14.665592    -14.665617
   0.01913    -14.680088    -14.680112
   0.03826    -14.698795    -14.698820
   0.05738    -14.715543    -14.715567
   0.07651    -14.730525    -14.730549
   0.09564    -14.743771    -14.743795
   0.11477    -14.755279    -14.755304
   0.13390    -14.765041    -14.765065
   0.15303    -14.773044    -14.773068
   0.17215    -14.779279    -14.779303
   0.19128    -14.783739    -14.783763
   0.21041    -14.786417    -14.786442
   0.22954    -14.787310    -14.787335
   0.22954    -14.787310    -14.787335
   0.24058    -14.765932    -14.765957
   0.25162    -14.743728    -14.743753
   0.26266    -14.721084    -14.721109
   0.27371    -14.698014    -14.698039
   0.28475    -14.674533    -14.674558
   0.29579    -14.650652    -14.650677
   0.30683    -14.626388    -14.626412
   0.31787    -14.601751    -14.601776
   0.32892    -14.576759    -14.576783
   0.33996    -14.551427    -14.551452
   0.35100    -14.525770    -14.525795
   0.36204    -14.500165    -14.500190
   0.36204    -14.500165    -14.500190
   0.38413    -14.525073    -14.525098
   0.40621    -14.548272    -14.548297
   0.42830    -14.569450    -14.569474
   0.45039    -14.588546    -14.588570
   0.47247    -14.605513    -14.605538
   0.49456    -14.620308    -14.620333
   0.51665    -14.632892    -14.632916
   0.53873    -14.643229    -14.643254
   0.56082    -14.651299    -14.651324
   0.58291    -14.657080    -14.657105
   0.60499    -14.660586    -14.660611
   0.62708    -14.665592    -14.665617
 
# Band-Index    6
   0.62708    -14.657480    -14.657505
   0.60499    -14.660255    -14.660280
   0.58291    -14.656827    -14.656852
   0.56082    -14.651055    -14.651080
   0.53873    -14.642988    -14.643012
   0.51665    -14.632651    -14.632676
   0.49456    -14.620069    -14.620093
   0.47247    -14.605274    -14.605299
   0.45039    -14.588307    -14.588332
   0.42830    -14.569211    -14.569236
   0.40621    -14.548034    -14.548059
   0.38413    -14.524834    -14.524859
   0.36204    -14.499702    -14.499727
   0.36204    -14.499702    -14.499727
   0.35100    -14.486723    -14.486748
   0.33996    -14.472966    -14.472991
   0.32892    -14.458755    -14.458780
   0.31787    -14.444100    -14.444125
   0.30683    -14.429012    -14.429037
   0.29579    -14.413500    -14.413525
   0.28475    -14.397577    -14.397602
   0.27371    -14.381254    -14.381279
   0.26266    -14.364544    -14.364569
   0.25162    -14.347461    -14.347486
   0.24058    -14.330016    -14.330041
   0.22954    -14.312422    -14.312447
   0.22954    -14.312422    -14.312447
   0.21041    -14.348034    -14.348059
   0.19128    -14.382894    -14.382919
   0.17215    -14.416661    -14.416686
   0.15303    -14.449268    -14.449293
   0.13390    -14.480655    -14.480680
   0.11477    -14.510763    -14.510788
   0.09564    -14.539541    -14.539566
   0.07651    -14.566943    -14.566968
   0.05738    -14.592943    -14.592968
   0.03826    -14.617577    -14.617602
   0.01913    -14.641043    -14.641068
   0.00000    -14.657480    -14.657505
 
# Band-Index    7
   0.00000    -14.657102    -14.657127
   0.01913    -14.639913    -14.639938
   0.03826    -14.617154    -14.617178
   0.05738    -14.592698    -14.592723
   0.07651    -14.566715    -14.566739
   0.09564    -14.539291    -14.539315
   0.11477    -14.510490    -14.510515
   0.13390    -14.480365    -14.480390
   0.15303    -14.448967    -14.448992
   0.17215    -14.416353    -14.416378
   0.19128    -14.382583    -14.382608
   0.21041    -14.347724    -14.347749
   0.22954    -14.312255    -14.312280
   0.22954    -14.312255    -14.312280
   0.24058    -14.329562    -14.329587
   0.25162    -14.347007    -14.347032
   0.26266    -14.364090    -14.364115
   0.27371    -14.380799    -14.380824
   0.28475    -14.397122    -14.397147
   0.29579    -14.413045    -14.413070
   0.30683    -14.428557    -14.428582
   0.31787    -14.443646    -14.443671
   0.32892    -14.458300    -14.458325
   0.33996    -14.472512    -14.472537
   0.35100    -14.486270    -14.486294
   0.36204    -14.499520    -14.499545
   0.36204    -14.499520    -14.499545
   0.38413    -14.446997    -14.447022
   0.40621    -14.393162    -14.393187
   0.42830    -14.338430    -14.338455
   0.45039    -14.290145    -14.290171
   0.47247    -14.341041    -14.341066
   0.49456    -14.391086    -14.391111
   0.51665    -14.440116    -14.440141
   0.53873    -14.487995    -14.488020
   0.56082    -14.534587    -14.534612
   0.58291    -14.579745    -14.579770
   0.60499    -14.623229    -14.623253
   0.62708    -14.657102    -14.657127
 
# Band-Index    8
   0.62708    -14.653152    -14.653177
   0.60499    -14.614840    -14.614864
   0.58291    -14.571305    -14.571330
   0.56082    -14.526137    -14.526162
   0.53873    -14.479539    -14.479564
   0.51665    -14.431652    -14.431677
   0.49456    -14.382614    -14.382639
   0.47247    -14.332558    -14.332583
   0.45039    -14.282928    -14.282953
   0.42830    -14.238492    -14.238517
   0.40621    -14.186301    -14.186326
   0.38413    -14.133720    -14.133746
   0.36204    -14.081376    -14.081402
   0.36204    -14.081376    -14.081402
   0.35100    -14.098735    -14.098761
   0.33996    -14.118801    -14.118827
   0.32892    -14.139051    -14.139077
   0.31787    -14.159211    -14.159237
   0.30683    -14.179205    -14.179231
   0.29579    -14.198994    -14.199019
   0.28475    -14.218552    -14.218578
   0.27371    -14.237860    -14.237885
   0.26266    -14.256898    -14.256924
   0.25162    -14.275648    -14.275673
   0.24058    -14.294093    -14.294119
   0.22954    -14.311835    -14.311860
   0.22954    -14.311835    -14.311860
   0.21041    -14.275308    -14.275334
   0.19128    -14.237597    -14.237623
   0.17215    -14.254454    -14.254479
   0.15303    -14.302112    -14.302137
   0.13390    -14.349397    -14.349422
   0.11477    -14.396189    -14.396214
   0.09564    -14.442372    -14.442397
   0.07651    -14.487832    -14.487857
   0.05738    -14.532444    -14.532469
   0.03826    -14.576036    -14.576061
   0.01913    -14.618168    -14.618193
   0.00000    -14.653152    -14.653177
 
# Band-Index    9
   0.00000    -14.039755    -14.039782
   0.01913    -14.039266    -14.039293
   0.03826    -14.037799    -14.037826
   0.05738    -14.035356    -14.035382
   0.07651    -14.031943    -14.031970
   0.09564    -14.038914    -14.038940
   0.11477    -14.079689    -14.079714
   0.13390    -14.120046    -14.120072
   0.15303    -14.159878    -14.159904
   0.17215    -14.199091    -14.199117
   0.19128    -14.237309    -14.237334
   0.21041    -14.275008    -14.275033
   0.22954    -14.311464    -14.311489
   0.22954    -14.311464    -14.311489
   0.24058    -14.293636    -14.293661
   0.25162    -14.275191    -14.275216
   0.26266    -14.256440    -14.256465
   0.27371    -14.237401    -14.237426
   0.28475    -14.218092    -14.218117
   0.29579    -14.198531    -14.198557
   0.30683    -14.178740    -14.178765
   0.31787    -14.158741    -14.158766
   0.32892    -14.138572    -14.138598
   0.33996    -14.118303    -14.118329
   0.35100    -14.098182    -14.098208
   0.36204    -14.081077    -14.081103
   0.36204    -14.081077    -14.081103
   0.38413    -14.125139    -14.125164
   0.40621    -14.177760    -14.177785
   0.42830    -14.229978    -14.230003
   0.45039    -14.281628    -14.281654
   0.47247    -14.226870    -14.226896
   0.49456    -14.170370    -14.170396
   0.51665    -14.113609    -14.113635
   0.53873    -14.056772    -14.056798
   0.56082    -14.033892    -14.033919
   0.58291    -14.037147    -14.037174
   0.60499    -14.039103    -14.039130
   0.62708    -14.039755    -14.039782
 
# Band-Index   10
   0.62708    -13.833854    -13.833880
   0.60499    -13.887719    -13.887745
   0.58291    -13.943604    -13.943630
   0.56082    -14.000027    -14.000053
   0.53873    -14.029328    -14.029355
   0.51665    -14.023494    -14.023521
   0.49456    -14.016387    -14.016414
   0.47247    -14.008034    -14.008061
   0.45039    -14.018312    -14.018338
   0.42830    -14.035490    -14.035516
   0.40621    -14.051094    -14.051119
   0.38413    -14.065223    -14.065249
   0.36204    -14.080359    -14.080384
   0.36204    -14.080359    -14.080384
   0.35100    -14.081110    -14.081136
   0.33996    -14.086525    -14.086551
   0.32892    -14.091174    -14.091199
   0.31787    -14.095276    -14.095301
   0.30683    -14.098879    -14.098904
   0.29579    -14.101995    -14.102021
   0.28475    -14.104632    -14.104658
   0.27371    -14.106790    -14.106816
   0.26266    -14.108469    -14.108495
   0.25162    -14.109669    -14.109694
   0.24058    -14.110389    -14.110414
   0.22954    -14.110629    -14.110654
   0.22954    -14.110629    -14.110654
   0.21041    -14.158494    -14.158520
   0.19128    -14.206531    -14.206557
   0.17215    -14.198808    -14.198833
   0.15303    -14.159611    -14.159636
   0.13390    -14.119796    -14.119822
   0.11477    -14.079458    -14.079483
   0.09564    -14.038711    -14.038737
   0.07651    -13.997811    -13.997837
   0.05738    -13.956523    -13.956548
   0.03826    -13.915176    -13.915202
   0.01913    -13.873932    -13.873958
   0.00000    -13.833854    -13.833880
 
# Band-Index   11
   0.00000    -13.833478    -13.833504
   0.01913    -13.873529    -13.873555
   0.03826    -13.914904    -13.914930
   0.05738    -13.956305    -13.956330
   0.07651    -13.997601    -13.997626
   0.09564    -14.027521    -14.027548
   0.11477    -14.022197    -14.022224
   0.13390    -14.015902    -14.015929
   0.15303    -14.008667    -14.008693
   0.17215    -14.000510    -14.000536
   0.19128    -14.015025    -14.015051
   0.21041    -14.062584    -14.062609
   0.22954    -14.110295    -14.110321
   0.22954    -14.110295    -14.110321
   0.24058    -14.110056    -14.110081
   0.25162    -14.109335    -14.109361
   0.26266    -14.108135    -14.108161
   0.27371    -14.106455    -14.106481
   0.28475    -14.104296    -14.104322
   0.29579    -14.101657    -14.101683
   0.30683    -14.098538    -14.098563
   0.31787    -14.094930    -14.094956
   0.32892    -14.090819    -14.090845
   0.33996    -14.086150    -14.086176
   0.35100    -14.080669    -14.080695
   0.36204    -14.072720    -14.072746
   0.36204    -14.072720    -14.072746
   0.38413    -14.065064    -14.065089
   0.40621    -14.050957    -14.050983
   0.42830    -14.035354    -14.035379
   0.45039    -14.018176    -14.018201
   0.47247    -13.999590    -13.999616
   0.49456    -13.979413    -13.979439
   0.51665    -13.957842    -13.957868
   0.53873    -13.934973    -13.934999
   0.56082    -13.910905    -13.910931
   0.58291    -13.885756    -13.885782
   0.60499    -13.859660    -13.859686
   0.62708    -13.833478    -13.833504
 
# Band-Index   12
   0.62708    -13.833241    -13.833267
   0.60499    -13.859528    -13.859554
   0.58291    -13.885627    -13.885653
   0.56082    -13.910774    -13.910800
   0.53873    -13.934838    -13.934864
   0.51665    -13.957704    -13.957730
   0.49456    -13.979272    -13.979298
   0.47247    -13.999443    -13.999469
   0.45039    -13.998407    -13.998434
   0.42830    -13.987609    -13.987636
   0.40621    -13.992295    -13.992321
   0.38413    -14.034252    -14.034277
   0.36204    -14.072395    -14.072420
   0.36204    -14.072395    -14.072420
   0.35100    -14.054714    -14.054739
   0.33996    -14.028335    -14.028361
   0.32892    -14.002018    -14.002044
   0.31787    -13.975817    -13.975843
   0.30683    -13.965740    -13.965766
   0.29579    -13.967758    -13.967785
   0.28475    -13.969472    -13.969498
   0.27371    -13.970878    -13.970905
   0.26266    -13.971974    -13.972001
   0.25162    -13.972757    -13.972784
   0.24058    -13.973228    -13.973254
   0.22954    -13.973384    -13.973411
   0.22954    -13.973384    -13.973411
   0.21041    -13.981641    -13.981668
   0.19128    -13.991464    -13.991491
   0.17215    -13.968046    -13.968072
   0.15303    -13.923939    -13.923965
   0.13390    -13.903804    -13.903831
   0.11477    -13.887721    -13.887748
   0.09564    -13.871108    -13.871135
   0.07651    -13.853854    -13.853881
   0.05738    -13.835984    -13.836011
   0.03826    -13.831393    -13.831419
   0.01913    -13.832698    -13.832724
   0.00000    -13.833241    -13.833267
 
# Band-Index   13
   0.00000    -13.832153    -13.832180
   0.01913    -13.831931    -13.831956
   0.03826    -13.830609    -13.830635
   0.05738    -13.829310    -13.829336
   0.07651    -13.826764    -13.826790
   0.09564    -13.825137    -13.825163
   0.11477    -13.829971    -13.829997
   0.13390    -13.874448    -13.874474
   0.15303    -13.915223    -13.915250
   0.17215    -13.931973    -13.932000
