  #K-Path    Energy        Mo         S        Si         C         O
# Band-Index    1
    0.000  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.019  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.038  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.057  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.077  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.096  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.115  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.134  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.153  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.172  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.191  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.210  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.230  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.230  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.241  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.252  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.263  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.274  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.285  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.296  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.307  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.318  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.329  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.340  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.351  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.362  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.362  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.384  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.406  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.428  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.450  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.472  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.495  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.517  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.539  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.561  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.583  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.605  -24.4512     0.000     0.000     0.000     0.286     0.744
    0.627  -24.4512     0.000     0.000     0.000     0.286     0.744
 
# Band-Index    2
    0.627  -15.1975     0.128     0.568     0.000     0.000     0.000
    0.605  -15.1962     0.128     0.568     0.000     0.000     0.000
    0.583  -15.1922     0.128     0.568     0.000     0.000     0.000
    0.561  -15.1855     0.128     0.568     0.000     0.000     0.000
    0.539  -15.1763     0.128     0.568     0.000     0.000     0.000
    0.517  -15.1644     0.128     0.567     0.000     0.000     0.000
    0.495  -15.1499     0.128     0.566     0.000     0.000     0.000
    0.472  -15.1328     0.128     0.567     0.000     0.000     0.000
    0.450  -15.1133     0.128     0.571     0.000     0.000     0.000
    0.428  -15.0912     0.128     0.570     0.000     0.000     0.000
    0.406  -15.0668     0.129     0.574     0.000     0.000     0.000
    0.384  -15.0402     0.125     0.575     0.000     0.000     0.000
    0.362  -15.0182     0.129     0.575     0.000     0.000     0.000
    0.362  -15.0182     0.129     0.575     0.000     0.000     0.000
    0.351  -15.0228     0.129     0.575     0.000     0.000     0.000
    0.340  -15.0290     0.128     0.575     0.000     0.000     0.000
    0.329  -15.0349     0.128     0.574     0.000     0.000     0.000
    0.318  -15.0403     0.128     0.576     0.000     0.000     0.000
    0.307  -15.0450     0.128     0.577     0.000     0.000     0.000
    0.296  -15.0491     0.128     0.575     0.000     0.000     0.000
    0.285  -15.0526     0.128     0.575     0.000     0.000     0.000
    0.274  -15.0555     0.130     0.579     0.000     0.000     0.000
    0.263  -15.0578     0.130     0.576     0.000     0.000     0.000
    0.252  -15.0594     0.127     0.579     0.000     0.000     0.000
    0.241  -15.0603     0.130     0.581     0.000     0.000     0.000
    0.230  -15.0606     0.125     0.575     0.000     0.000     0.000
    0.230  -15.0606     0.125     0.575     0.000     0.000     0.000
    0.210  -15.0788     0.129     0.573     0.000     0.000     0.000
    0.191  -15.0990     0.127     0.574     0.000     0.000     0.000
    0.172  -15.1175     0.128     0.573     0.000     0.000     0.000
    0.153  -15.1342     0.128     0.568     0.000     0.000     0.000
    0.134  -15.1489     0.128     0.566     0.000     0.000     0.000
    0.115  -15.1617     0.128     0.566     0.000     0.000     0.000
    0.096  -15.1726     0.128     0.567     0.000     0.000     0.000
    0.077  -15.1816     0.128     0.568     0.000     0.000     0.000
    0.057  -15.1885     0.128     0.568     0.000     0.000     0.000
    0.038  -15.1935     0.128     0.568     0.000     0.000     0.000
    0.019  -15.1965     0.128     0.568     0.000     0.000     0.000
    0.000  -15.1975     0.128     0.568     0.000     0.000     0.000
 
# Band-Index    3
    0.000  -14.6698     0.126     0.589     0.000     0.000     0.000
    0.019  -14.7038     0.122     0.592     0.000     0.000     0.000
    0.038  -14.7425     0.123     0.588     0.000     0.000     0.000
    0.057  -14.7804     0.126     0.583     0.000     0.000     0.000
    0.077  -14.8171     0.126     0.587     0.000     0.000     0.000
    0.096  -14.8525     0.125     0.587     0.000     0.000     0.000
    0.115  -14.8864     0.123     0.584     0.000     0.000     0.000
    0.134  -14.9187     0.124     0.582     0.000     0.000     0.000
    0.153  -14.9495     0.124     0.579     0.000     0.000     0.000
    0.172  -14.9786     0.126     0.577     0.000     0.000     0.000
    0.191  -15.0061     0.127     0.576     0.000     0.000     0.000
    0.210  -15.0317     0.127     0.577     0.000     0.000     0.000
    0.230  -15.0516     0.130     0.571     0.000     0.000     0.000
    0.230  -15.0516     0.130     0.571     0.000     0.000     0.000
    0.241  -15.0513     0.130     0.571     0.000     0.000     0.000
    0.252  -15.0503     0.130     0.571     0.000     0.000     0.000
    0.263  -15.0487     0.130     0.572     0.000     0.000     0.000
