    # Energy          Mo           S          Si           C           O
   -15.21452     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.21152     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.20852     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.20552     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.20252     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.19952     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.19652     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.19352     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.19052     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.18752     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.18452     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.18152     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.17852     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.17552     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.17252     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.16952     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.16652     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.16352     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.16052     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.15752     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.15452     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.15152     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.14852     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.14552     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.14252     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.13952     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.13652    -0.80227    -3.54247    -0.00021    -0.00001    -0.00003
   -15.13352    -0.77116    -3.40686    -0.00021    -0.00001    -0.00003
   -15.13052    -0.81555    -3.60434    -0.00022    -0.00001    -0.00003
   -15.12752    -0.85990    -3.80181    -0.00023    -0.00001    -0.00003
   -15.12452    -0.84802    -3.75157    -0.00023    -0.00001    -0.00003
   -15.12152    -0.77841    -3.44643    -0.00021    -0.00001    -0.00003
   -15.11852    -0.79841    -3.53639    -0.00021    -0.00001    -0.00003
   -15.11552    -0.81846    -3.62638    -0.00022    -0.00001    -0.00003
   -15.11252    -0.78762    -3.49235    -0.00021    -0.00001    -0.00003
   -15.10952    -0.80376    -3.56534    -0.00021    -0.00001    -0.00003
   -15.10652    -0.81995    -3.63824    -0.00022    -0.00001    -0.00003
   -15.10352    -0.83611    -3.71120    -0.00022    -0.00001    -0.00003
   -15.10052    -0.85226    -3.78411    -0.00023    -0.00001    -0.00003
   -15.09752    -0.83792    -3.72288    -0.00022    -0.00001    -0.00003
   -15.09452    -0.80492    -3.57976    -0.00021    -0.00001    -0.00003
   -15.09152    -0.80760    -3.59325    -0.00022    -0.00001    -0.00003
   -15.08852    -0.81024    -3.60678    -0.00022    -0.00001    -0.00003
   -15.08552    -0.81390    -3.62462    -0.00022    -0.00001    -0.00003
   -15.08252    -0.82367    -3.66920    -0.00022    -0.00001    -0.00003
   -15.07952    -0.82418    -3.67343    -0.00022    -0.00001    -0.00003
   -15.07652    -0.82016    -3.65757    -0.00022    -0.00001    -0.00003
   -15.07352    -0.81614    -3.64179    -0.00022    -0.00001    -0.00003
   -15.07052    -0.82097    -3.66493    -0.00022    -0.00001    -0.00003
   -15.06752    -0.82920    -3.70277    -0.00022    -0.00001    -0.00003
   -15.06452    -0.83740    -3.74062    -0.00022    -0.00001    -0.00003
   -15.06152    -0.84561    -3.77844    -0.00022    -0.00001    -0.00003
   -15.05852    -0.84515    -3.77839    -0.00022    -0.00001    -0.00003
