    # Energy          Mo           S          Si           C           O
   -15.21452     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.21152     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.20852     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.20552     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.20252     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.19952     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.19652     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.19352     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.19052     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.18752     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.18452     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.18152     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.17852     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.17552     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.17252     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.16952     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.16652     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.16352     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.16052     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.15752     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.15452     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.15152     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.14852     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.14552     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.14252     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.13952     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.13652     0.80276     3.54449     0.00021     0.00001     0.00003
   -15.13352     0.77092     3.40592     0.00021     0.00001     0.00003
   -15.13052     0.81533     3.60334     0.00022     0.00001     0.00003
   -15.12752     0.85968     3.80086     0.00023     0.00001     0.00003
   -15.12452     0.84840     3.75304     0.00023     0.00001     0.00003
   -15.12152     0.77861     3.44729     0.00021     0.00001     0.00003
   -15.11852     0.79837     3.53594     0.00021     0.00001     0.00003
   -15.11552     0.81838     3.62597     0.00022     0.00001     0.00003
   -15.11252     0.78756     3.49205     0.00021     0.00001     0.00003
   -15.10952     0.80370     3.56500     0.00021     0.00001     0.00003
   -15.10652     0.81986     3.63795     0.00022     0.00001     0.00003
   -15.10352     0.83602     3.71085     0.00022     0.00001     0.00003
   -15.10052     0.85222     3.78380     0.00023     0.00001     0.00003
   -15.09752     0.83807     3.72364     0.00022     0.00001     0.00003
   -15.09452     0.80492     3.57968     0.00021     0.00001     0.00003
   -15.09152     0.80760     3.59315     0.00022     0.00001     0.00003
   -15.08852     0.81022     3.60667     0.00022     0.00001     0.00003
   -15.08552     0.81387     3.62436     0.00022     0.00001     0.00003
   -15.08252     0.82361     3.66896     0.00022     0.00001     0.00003
   -15.07952     0.82420     3.67351     0.00022     0.00001     0.00003
   -15.07652     0.82018     3.65765     0.00022     0.00001     0.00003
   -15.07352     0.81615     3.64186     0.00022     0.00001     0.00003
   -15.07052     0.82095     3.66469     0.00022     0.00001     0.00003
   -15.06752     0.82914     3.70255     0.00022     0.00001     0.00003
   -15.06452     0.83736     3.74041     0.00022     0.00001     0.00003
   -15.06152     0.84556     3.77827     0.00022     0.00001     0.00003
   -15.05852     0.84523     3.77880     0.00022     0.00001     0.00003
   -15.05552     0.82614     3.69706     0.00022     0.00001     0.00003
   -15.05252     0.82362     3.68822     0.00022     0.00001     0.00003
   -15.04952     0.82418     3.69263     0.00022     0.00001     0.00003
   -15.04652     0.82474     3.69710     0.00022     0.00001     0.00003
