  #K-Path    Energy        Mo         S        Si         C         O
# Band-Index    1
    0.000  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.019  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.038  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.057  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.077  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.096  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.115  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.134  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.153  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.172  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.191  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.210  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.230  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.230  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.241  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.252  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.263  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.274  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.285  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.296  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.307  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.318  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.329  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.340  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.351  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.362  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.362  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.384  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.406  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.428  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.450  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.472  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.495  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.517  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.539  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.561  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.583  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.605  -24.4532     0.000     0.000     0.000     0.284     0.679
    0.627  -24.4532     0.000     0.000     0.000     0.284     0.679
 
# Band-Index    2
    0.627  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.605  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.583  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.561  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.539  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.517  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.495  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.472  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.450  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.428  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.406  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.384  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.362  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.362  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.351  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.340  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.329  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.318  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.307  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.296  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.285  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.274  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.263  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.252  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.241  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.230  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.230  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.210  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.191  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.172  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.153  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.134  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.115  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.096  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.077  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.057  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.038  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.019  -23.4784     0.000     0.000     0.000     0.264     0.776
    0.000  -23.4784     0.000     0.000     0.000     0.264     0.776
 
# Band-Index    3
    0.000  -15.1957     0.127     0.569     0.000     0.000     0.000
    0.019  -15.1947     0.127     0.569     0.000     0.000     0.000
    0.038  -15.1917     0.127     0.569     0.000     0.000     0.000
    0.057  -15.1867     0.127     0.569     0.000     0.000     0.000
    0.077  -15.1797     0.127     0.569     0.000     0.000     0.000
    0.096  -15.1708     0.127     0.569     0.000     0.000     0.000
    0.115  -15.1599     0.128     0.569     0.000     0.000     0.000
    0.134  -15.1471     0.128     0.569     0.000     0.000     0.000
    0.153  -15.1323     0.128     0.571     0.000     0.000     0.000
    0.172  -15.1157     0.129     0.575     0.000     0.000     0.000
    0.191  -15.0972     0.131     0.571     0.000     0.000     0.000
    0.210  -15.0770     0.127     0.571     0.000     0.000     0.000
    0.230  -15.0590     0.127     0.577     0.000     0.000     0.000
    0.230  -15.0590     0.127     0.577     0.000     0.000     0.000
    0.241  -15.0587     0.128     0.576     0.000     0.000     0.000
    0.252  -15.0577     0.128     0.576     0.000     0.000     0.000
    0.263  -15.0561     0.128     0.577     0.000     0.000     0.000
