    # Energy          Mo          Au           S          Si           C           O
   -14.98170    -0.32058    -0.00143    -2.02285    -0.05130    -0.00000    -0.00000
   -14.97870    -0.30709    -0.00131    -1.94065    -0.04936    -0.00000    -0.00000
   -14.97570    -0.27387    -0.00116    -1.73274    -0.04417    -0.00000    -0.00000
   -14.97270    -0.24070    -0.00101    -1.52459    -0.03897    -0.00000    -0.00000
   -14.96970    -0.20756    -0.00087    -1.31658    -0.03374    -0.00000    -0.00000
   -14.96670    -0.17447    -0.00072    -1.10841    -0.02850    -0.00000    -0.00000
   -14.96370    -0.14142    -0.00058    -0.90022    -0.02324    -0.00000    -0.00000
   -14.96070    -0.17828    -0.00207    -1.12866    -0.02860    -0.00000    -0.00000
   -14.95770    -0.09386    -0.00215    -0.58663    -0.01428    -0.00000    -0.00000
   -14.95470    -0.11783    -0.00267    -0.73664    -0.01794    -0.00000    -0.00000
   -14.95170    -0.14180    -0.00317    -0.88661    -0.02159    -0.00000    -0.00000
   -14.94870    -0.15822    -0.00344    -0.98974    -0.02410    -0.00000    -0.00000
   -14.94570    -0.17395    -0.00369    -1.08853    -0.02651    -0.00000    -0.00000
   -14.94270    -0.78806    -0.01603    -4.94818    -0.12071    -0.00000    -0.00000
   -14.93970    -0.58927    -0.01159    -3.70121    -0.09029    -0.00000    -0.00000
   -14.93670    -0.51775    -0.00994    -3.25411    -0.07946    -0.00000    -0.00000
   -14.93370    -0.54559    -0.01016    -3.42975    -0.08372    -0.00000    -0.00000
   -14.93070    -0.62027    -0.01090    -3.90158    -0.09525    -0.00000    -0.00000
   -14.92770    -1.01125    -0.01369    -6.39429    -0.15734    -0.00000    -0.00000
   -14.92470    -1.00539    -0.01349    -6.35584    -0.15629    -0.00000    -0.00000
   -14.92170    -1.02381    -0.01358    -6.46914    -0.15888    -0.00000    -0.00000
   -14.91870    -1.11091    -0.01435    -7.00977    -0.17160    -0.00000    -0.00000
   -14.91570    -1.19803    -0.01506    -7.55109    -0.18433    -0.00000    -0.00000
   -14.91270    -1.08533    -0.01388    -6.83201    -0.16636    -0.00000    -0.00000
   -14.90970    -1.80149    -0.02758   -10.88387    -0.24160    -0.00000    -0.00000
   -14.90670    -1.26572    -0.01807    -7.73878    -0.17656    -0.00000    -0.00000
   -14.90370    -1.15957    -0.01589    -7.10950    -0.16313    -0.00000    -0.00000
   -14.90070    -1.15874    -0.01515    -7.09927    -0.16246    -0.00000    -0.00000
   -14.89770    -1.30266    -0.01548    -7.98693    -0.18279    -0.00000    -0.00000
   -14.89470    -2.04062    -0.02098   -12.43948    -0.28065    -0.00000    -0.00000
   -14.89170    -1.15147    -0.01279    -7.12635    -0.16627    -0.00000    -0.00000
   -14.88870    -0.86656    -0.01016    -5.38583    -0.12667    -0.00000    -0.00000
   -14.88570    -0.84912    -0.00982    -5.28509    -0.12459    -0.00000    -0.00000
   -14.88270    -0.82820    -0.00945    -5.16065    -0.12190    -0.00000    -0.00000
   -14.87970    -0.80696    -0.00909    -5.03406    -0.11915    -0.00000    -0.00000
   -14.87670    -0.78571    -0.00873    -4.90781    -0.11640    -0.00000    -0.00000
   -14.87370    -0.76448    -0.00837    -4.78152    -0.11364    -0.00000    -0.00000
   -14.87070    -0.73449    -0.00797    -4.59946    -0.10953    -0.00000    -0.00000
   -14.86770    -0.69783    -0.00753    -4.37464    -0.10435    -0.00000    -0.00000
   -14.86470    -0.70102    -0.00740    -4.39893    -0.10497    -0.00000    -0.00000
   -14.86170    -0.75031    -0.00756    -4.71490    -0.11257    -0.00000    -0.00000
   -14.85870    -0.72689    -0.00729    -4.57818    -0.10971    -0.00000    -0.00000
   -14.85570    -0.69620    -0.00695    -4.39332    -0.10567    -0.00000    -0.00000
   -14.85270    -0.66224    -0.00658    -4.18792    -0.10110    -0.00000    -0.00000
   -14.84970    -0.62955    -0.00622    -3.99087    -0.09676    -0.00000    -0.00000
   -14.84670    -0.59679    -0.00587    -3.79430    -0.09245    -0.00000    -0.00000
   -14.84370    -0.64262    -0.00598    -4.09610    -0.10009    -0.00000    -0.00000
   -14.84070    -0.63468    -0.00588    -4.05203    -0.09925    -0.00000    -0.00000
   -14.83770    -0.62680    -0.00578    -4.00774    -0.09841    -0.00000    -0.00000
   -14.83470    -0.61891    -0.00568    -3.96366    -0.09755    -0.00000    -0.00000
   -14.83170    -0.60225    -0.00552    -3.86158    -0.09521    -0.00000    -0.00000
   -14.82870    -0.54329    -0.00502    -3.48343    -0.08582    -0.00000    -0.00000
   -14.82570    -0.52678    -0.00484    -3.38266    -0.08352    -0.00000    -0.00000
   -14.82270    -0.52727    -0.00486    -3.39200    -0.08398    -0.00000    -0.00000
   -14.81970    -0.54162    -0.00505    -3.49119    -0.08667    -0.00000    -0.00000
   -14.81670    -0.57158    -0.00537    -3.68951    -0.09177    -0.00000    -0.00000
   -14.81370    -0.62847    -0.00596    -4.05974    -0.10104    -0.00000    -0.00000
   -14.81070    -0.63615    -0.00613    -4.11340    -0.10251    -0.00000    -0.00000
   -14.80770    -0.54633    -0.00521    -3.54041    -0.08839    -0.00000    -0.00000
   -14.80470    -0.52413    -0.00500    -3.40289    -0.08514    -0.00000    -0.00000
   -14.80170    -0.52684    -0.00511    -3.42519    -0.08591    -0.00000    -0.00000
   -14.79870    -0.52947    -0.00523    -3.44827    -0.08668    -0.00000    -0.00000
   -14.79570    -0.53207    -0.00535    -3.47094    -0.08747    -0.00000    -0.00000
   -14.79270    -1.02600    -0.00808    -6.40638    -0.14379    -0.00000    -0.00000
   -14.78970    -0.89095    -0.00774    -5.62945    -0.13021    -0.00000    -0.00000
   -14.78670    -0.65497    -0.00590    -4.18506    -0.09920    -0.00000    -0.00000
   -14.78370    -0.65422    -0.00596    -4.18550    -0.09939    -0.00000    -0.00000
   -14.78070    -0.67260    -0.00619    -4.31043    -0.10266    -0.00000    -0.00000
   -14.77770    -0.69327    -0.00644    -4.45061    -0.10634    -0.00000    -0.00000
   -14.77470    -0.71397    -0.00668    -4.59054    -0.11000    -0.00000    -0.00000
   -14.77170    -0.73464    -0.00692    -4.73077    -0.11367    -0.00000    -0.00000
   -14.76870    -0.75531    -0.00716    -4.87069    -0.11734    -0.00000    -0.00000
   -14.76570    -0.77291    -0.00736    -4.99249    -0.12063    -0.00000    -0.00000
   -14.76270    -0.78774    -0.00755    -5.09780    -0.12362    -0.00000    -0.00000
   -14.75970    -0.80259    -0.00773    -5.20289    -0.12661    -0.00000    -0.00000
   -14.75670    -0.89416    -0.00864    -5.81546    -0.14240    -0.00000    -0.00000
   -14.75370    -1.00377    -0.00996    -6.57016    -0.16319    -0.00000    -0.00000
   -14.75070    -1.28442    -0.01311    -8.43361    -0.21118    -0.00000    -0.00000
   -14.74770    -1.11170    -0.01126    -7.30187    -0.18283    -0.00000    -0.00000
   -14.74470    -0.99921    -0.00979    -6.56506    -0.16416    -0.00000    -0.00000
   -14.74170    -0.91392    -0.00868    -6.01037    -0.15022    -0.00000    -0.00000
   -14.73870    -0.87832    -0.00819    -5.78274    -0.14463    -0.00000    -0.00000
   -14.73570    -0.84964    -0.00782    -5.59834    -0.14008    -0.00000    -0.00000
