    # Energy          Mo          Au           S          Si           C           O
   -14.98170     0.32087     0.00143     2.02485     0.05136     0.00000     0.00000
   -14.97870     0.30648     0.00131     1.93681     0.04926     0.00000     0.00000
   -14.97570     0.27329     0.00116     1.72886     0.04407     0.00000     0.00000
   -14.97270     0.24008     0.00101     1.52082     0.03887     0.00000     0.00000
   -14.96970     0.20696     0.00087     1.31271     0.03365     0.00000     0.00000
   -14.96670     0.17386     0.00072     1.10463     0.02841     0.00000     0.00000
   -14.96370     0.14080     0.00058     0.89637     0.02315     0.00000     0.00000
   -14.96070     0.17817     0.00208     1.12783     0.02857     0.00000     0.00000
   -14.95770     0.09435     0.00217     0.58968     0.01436     0.00000     0.00000
   -14.95470     0.11831     0.00268     0.73965     0.01801     0.00000     0.00000
   -14.95170     0.14229     0.00318     0.88973     0.02166     0.00000     0.00000
   -14.94870     0.15853     0.00345     0.99163     0.02415     0.00000     0.00000
   -14.94570     0.17425     0.00369     1.09043     0.02656     0.00000     0.00000
   -14.94270     0.78157     0.01590     4.90713     0.11971     0.00000     0.00000
   -14.93970     0.58712     0.01155     3.68759     0.08996     0.00000     0.00000
   -14.93670     0.51827     0.00995     3.25770     0.07953     0.00000     0.00000
   -14.93370     0.54609     0.01017     3.43319     0.08380     0.00000     0.00000
   -14.93070     0.62378     0.01095     3.92359     0.09579     0.00000     0.00000
   -14.92770     1.01140     0.01370     6.39548     0.15734     0.00000     0.00000
   -14.92470     1.00539     0.01350     6.35582     0.15627     0.00000     0.00000
   -14.92170     1.02570     0.01361     6.48070     0.15916     0.00000     0.00000
   -14.91870     1.11269     0.01437     7.02098     0.17187     0.00000     0.00000
   -14.91570     1.19980     0.01509     7.56214     0.18458     0.00000     0.00000
   -14.91270     1.07896     0.01382     6.79145     0.16536     0.00000     0.00000
   -14.90970     1.78952     0.02738    10.81336     0.24013     0.00000     0.00000
   -14.90670     1.26360     0.01804     7.72603     0.17627     0.00000     0.00000
   -14.90370     1.15740     0.01587     7.09660     0.16286     0.00000     0.00000
   -14.90070     1.15908     0.01515     7.10160     0.16249     0.00000     0.00000
   -14.89770     1.30344     0.01549     7.99128     0.18287     0.00000     0.00000
   -14.89470     2.06958     0.02119    12.61605     0.28456     0.00000     0.00000
   -14.89170     1.14608     0.01275     7.09318     0.16552     0.00000     0.00000
   -14.88870     0.86621     0.01016     5.38381     0.12662     0.00000     0.00000
   -14.88570     0.84877     0.00982     5.28273     0.12454     0.00000     0.00000
   -14.88270     0.82774     0.00945     5.15804     0.12184     0.00000     0.00000
   -14.87970     0.80651     0.00908     5.03157     0.11909     0.00000     0.00000
   -14.87670     0.78527     0.00872     4.90513     0.11634     0.00000     0.00000
   -14.87370     0.76400     0.00837     4.77856     0.11358     0.00000     0.00000
   -14.87070     0.73376     0.00797     4.59498     0.10942     0.00000     0.00000
   -14.86770     0.69708     0.00753     4.37033     0.10425     0.00000     0.00000
   -14.86470     0.70302     0.00741     4.41163     0.10527     0.00000     0.00000
   -14.86170     0.74985     0.00756     4.71216     0.11251     0.00000     0.00000
   -14.85870     0.72645     0.00729     4.57524     0.10966     0.00000     0.00000
   -14.85570     0.69550     0.00694     4.38943     0.10557     0.00000     0.00000
   -14.85270     0.66160     0.00657     4.18410     0.10102     0.00000     0.00000
   -14.84970     0.62888     0.00622     3.98731     0.09668     0.00000     0.00000
   -14.84670     0.59618     0.00587     3.79036     0.09237     0.00000     0.00000
   -14.84370     0.64246     0.00598     4.09536     0.10008     0.00000     0.00000
   -14.84070     0.63454     0.00588     4.05132     0.09924     0.00000     0.00000
   -14.83770     0.62663     0.00578     4.00703     0.09839     0.00000     0.00000
   -14.83470     0.61877     0.00568     3.96282     0.09753     0.00000     0.00000
   -14.83170     0.60114     0.00551     3.85449     0.09503     0.00000     0.00000
   -14.82870     0.54297     0.00502     3.48133     0.08578     0.00000     0.00000
   -14.82570     0.52644     0.00484     3.38056     0.08348     0.00000     0.00000
   -14.82270     0.52751     0.00487     3.39394     0.08403     0.00000     0.00000
   -14.81970     0.54193     0.00506     3.49287     0.08672     0.00000     0.00000
   -14.81670     0.57644     0.00542     3.72040     0.09254     0.00000     0.00000
   -14.81370     0.62869     0.00597     4.06112     0.10108     0.00000     0.00000
   -14.81070     0.63454     0.00612     4.10268     0.10225     0.00000     0.00000
   -14.80770     0.54457     0.00519     3.52918     0.08811     0.00000     0.00000
   -14.80470     0.52420     0.00501     3.40331     0.08516     0.00000     0.00000
   -14.80170     0.52689     0.00512     3.42601     0.08592     0.00000     0.00000
   -14.79870     0.52954     0.00524     3.44876     0.08670     0.00000     0.00000
   -14.79570     0.53210     0.00536     3.47138     0.08749     0.00000     0.00000
   -14.79270     1.02408     0.00809     6.39544     0.14361     0.00000     0.00000
   -14.78970     0.88875     0.00774     5.61635     0.12998     0.00000     0.00000
   -14.78670     0.65475     0.00590     4.18360     0.09917     0.00000     0.00000
