  #K-Path    Energy        Mo        Au         S        Si         C         O
# Band-Index    1
    0.000  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.019  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.038  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.057  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.076  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.095  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.114  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.133  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.152  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.171  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.190  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.209  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.228  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.228  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.239  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.250  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.261  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.272  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.283  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.294  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.305  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.316  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.327  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.338  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.349  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.360  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.360  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.382  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.404  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.426  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.449  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.471  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.493  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.515  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.537  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.559  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.581  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.603  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
    0.625  -24.2017     0.000     0.000     0.000     0.000     0.286     0.744
 
# Band-Index    2
    0.625  -15.4205     0.097     0.001     0.563     0.012     0.000     0.000
    0.603  -15.4194     0.097     0.001     0.564     0.012     0.000     0.000
    0.581  -15.4163     0.097     0.001     0.566     0.012     0.000     0.000
    0.559  -15.4111     0.097     0.001     0.567     0.012     0.000     0.000
    0.537  -15.4040     0.097     0.001     0.565     0.012     0.000     0.000
    0.515  -15.3951     0.098     0.001     0.565     0.013     0.000     0.000
    0.493  -15.3847     0.096     0.001     0.568     0.012     0.000     0.000
    0.471  -15.3731     0.097     0.001     0.567     0.012     0.000     0.000
    0.449  -15.3610     0.095     0.001     0.570     0.011     0.000     0.000
    0.426  -15.3493     0.096     0.000     0.568     0.012     0.000     0.000
    0.404  -15.3395     0.096     0.000     0.570     0.012     0.000     0.000
    0.382  -15.3332     0.097     0.000     0.572     0.013     0.000     0.000
    0.360  -15.3311     0.094     0.000     0.568     0.013     0.000     0.000
    0.360  -15.3311     0.094     0.000     0.568     0.013     0.000     0.000
    0.349  -15.3315     0.094     0.000     0.568     0.013     0.000     0.000
    0.338  -15.3326     0.094     0.000     0.568     0.013     0.000     0.000
    0.327  -15.3341     0.093     0.000     0.564     0.013     0.000     0.000
    0.316  -15.3359     0.092     0.000     0.567     0.014     0.000     0.000
    0.305  -15.3378     0.093     0.000     0.567     0.014     0.000     0.000
    0.294  -15.3396     0.096     0.000     0.569     0.014     0.000     0.000
    0.283  -15.3413     0.095     0.000     0.572     0.014     0.000     0.000
    0.272  -15.3428     0.093     0.000     0.567     0.014     0.000     0.000
    0.261  -15.3440     0.094     0.000     0.570     0.012     0.000     0.000
    0.250  -15.3449     0.094     0.000     0.574     0.012     0.000     0.000
    0.239  -15.3454     0.096     0.000     0.572     0.012     0.000     0.000
    0.228  -15.3456     0.095     0.000     0.571     0.013     0.000     0.000
    0.228  -15.3456     0.095     0.000     0.571     0.013     0.000     0.000
    0.209  -15.3482     0.093     0.000     0.568     0.013     0.000     0.000
    0.190  -15.3551     0.093     0.000     0.570     0.013     0.000     0.000
    0.171  -15.3644     0.095     0.000     0.568     0.013     0.000     0.000
    0.152  -15.3744     0.095     0.000     0.567     0.014     0.000     0.000
    0.133  -15.3842     0.094     0.000     0.563     0.013     0.000     0.000
    0.114  -15.3933     0.099     0.001     0.564     0.012     0.000     0.000
    0.095  -15.4013     0.098     0.001     0.565     0.012     0.000     0.000
    0.076  -15.4081     0.098     0.001     0.566     0.013     0.000     0.000
    0.057  -15.4135     0.097     0.001     0.563     0.012     0.000     0.000
