    # Energy          Mo          Au           S          Si           C           O
   -14.98182    -0.30703    -0.00148    -1.93510    -0.04902    -0.00000    -0.00001
   -14.97882    -0.32035    -0.00141    -2.02342    -0.05145    -0.00000    -0.00001
   -14.97582    -0.29276    -0.00127    -1.85136    -0.04719    -0.00000    -0.00001
   -14.97282    -0.25976    -0.00112    -1.64455    -0.04201    -0.00000    -0.00001
   -14.96982    -0.22681    -0.00097    -1.43775    -0.03683    -0.00000    -0.00001
   -14.96682    -0.19389    -0.00082    -1.23084    -0.03162    -0.00000    -0.00001
   -14.96382    -0.16101    -0.00068    -1.02389    -0.02639    -0.00000    -0.00000
   -14.96082    -0.18739    -0.00193    -1.18641    -0.03014    -0.00000    -0.00000
   -14.95782    -0.08301    -0.00192    -0.51820    -0.01261    -0.00000    -0.00000
   -14.95482    -0.10678    -0.00243    -0.66688    -0.01623    -0.00000    -0.00000
   -14.95182    -0.13058    -0.00293    -0.81562    -0.01984    -0.00000    -0.00000
   -14.94882    -0.15047    -0.00331    -0.94013    -0.02288    -0.00000    -0.00000
   -14.94582    -0.16603    -0.00355    -1.03777    -0.02526    -0.00000    -0.00000
   -14.94282    -0.95374    -0.01980    -5.98985    -0.14639    -0.00001    -0.00001
   -14.93982    -0.65084    -0.01306    -4.08742    -0.09984    -0.00000    -0.00001
   -14.93682    -0.54470    -0.01065    -3.42246    -0.08363    -0.00000    -0.00001
   -14.93382    -0.52992    -0.01007    -3.33091    -0.08141    -0.00000    -0.00001
   -14.93082    -0.55771    -0.01029    -3.50643    -0.08567    -0.00000    -0.00001
   -14.92782    -0.71460    -0.01187    -4.49771    -0.11002    -0.00000    -0.00001
   -14.92482    -1.00536    -0.01357    -6.35347    -0.15631    -0.00001    -0.00001
   -14.92182    -0.99908    -0.01338    -6.31352    -0.15528    -0.00001    -0.00001
   -14.91882    -1.06177    -0.01394    -6.70307    -0.16446    -0.00001    -0.00001
   -14.91582    -1.15263    -0.01473    -7.26784    -0.17779    -0.00001    -0.00002
   -14.91282    -1.24359    -0.01545    -7.83334    -0.19112    -0.00001    -0.00002
   -14.90982    -0.93596    -0.01233    -5.88347    -0.14304    -0.00001    -0.00001
   -14.90682    -1.36856    -0.01993    -8.34579    -0.18943    -0.00000    -0.00001
   -14.90382    -1.19489    -0.01661    -7.32044    -0.16786    -0.00000    -0.00001
   -14.90082    -1.16050    -0.01549    -7.11463    -0.16325    -0.00000    -0.00001
   -14.89782    -1.18514    -0.01500    -7.25393    -0.16562    -0.00000    -0.00001
   -14.89482    -1.49572    -0.01684    -9.14826    -0.20827    -0.00001    -0.00001
   -14.89182    -1.25070    -0.01377    -7.72490    -0.17973    -0.00001    -0.00001
   -14.88882    -0.99568    -0.01139    -6.17648    -0.14492    -0.00000    -0.00001
   -14.88582    -0.85533    -0.00999    -5.32038    -0.12544    -0.00000    -0.00001
   -14.88282    -0.83697    -0.00964    -5.21309    -0.12318    -0.00000    -0.00001
   -14.87982    -0.81604    -0.00928    -5.08880    -0.12047    -0.00000    -0.00001
   -14.87682    -0.79512    -0.00892    -4.96423    -0.11776    -0.00000    -0.00001
   -14.87382    -0.77421    -0.00856    -4.83959    -0.11505    -0.00000    -0.00001
   -14.87082    -0.75331    -0.00821    -4.71491    -0.11233    -0.00000    -0.00001
   -14.86782    -0.71666    -0.00777    -4.49080    -0.10717    -0.00000    -0.00001
   -14.86482    -0.67989    -0.00734    -4.26524    -0.10196    -0.00000    -0.00001
   -14.86182    -0.75984    -0.00783    -4.77016    -0.11390    -0.00000    -0.00001
   -14.85882    -0.73921    -0.00744    -4.65070    -0.11136    -0.00000    -0.00001
   -14.85582    -0.71293    -0.00714    -4.49567    -0.10807    -0.00000    -0.00001
