    # Energy          Mo          Au           S          Si           C           O
   -14.98182     0.30745     0.00148     1.93774     0.04910     0.00000     0.00001
   -14.97882     0.32071     0.00141     2.02589     0.05152     0.00000     0.00001
   -14.97582     0.29173     0.00127     1.84505     0.04703     0.00000     0.00001
   -14.97282     0.25874     0.00112     1.63819     0.04186     0.00000     0.00001
   -14.96982     0.22579     0.00097     1.43145     0.03667     0.00000     0.00001
   -14.96682     0.19288     0.00082     1.22455     0.03146     0.00000     0.00001
   -14.96382     0.16001     0.00067     1.01751     0.02624     0.00000     0.00000
   -14.96082     0.18727     0.00195     1.18570     0.03012     0.00000     0.00000
   -14.95782     0.08389     0.00194     0.52370     0.01274     0.00000     0.00000
   -14.95482     0.10766     0.00245     0.67233     0.01636     0.00000     0.00000
   -14.95182     0.13144     0.00295     0.82098     0.01997     0.00000     0.00000
   -14.94882     0.15103     0.00332     0.94358     0.02296     0.00000     0.00000
   -14.94582     0.16658     0.00356     1.04115     0.02534     0.00000     0.00000
   -14.94282     0.94258     0.01958     5.91957     0.14468     0.00001     0.00001
   -14.93982     0.63962     0.01283     4.01700     0.09811     0.00000     0.00001
   -14.93682     0.54104     0.01058     3.39968     0.08307     0.00000     0.00001
   -14.93382     0.53085     0.01009     3.33706     0.08155     0.00000     0.00001
   -14.93082     0.55862     0.01030     3.51223     0.08581     0.00000     0.00001
   -14.92782     0.72033     0.01194     4.53377     0.11091     0.00000     0.00001
   -14.92482     1.00533     0.01358     6.35321     0.15630     0.00001     0.00001
   -14.92182     0.99904     0.01340     6.31302     0.15526     0.00001     0.00001
   -14.91882     1.06502     0.01399     6.72324     0.16492     0.00001     0.00001
   -14.91582     1.15572     0.01478     7.28722     0.17824     0.00001     0.00002
   -14.91282     1.23827     0.01542     7.79998     0.19030     0.00001     0.00002
   -14.90982     0.92512     0.01222     5.81487     0.14134     0.00001     0.00001
   -14.90682     1.34852     0.01960     8.22801     0.18699     0.00000     0.00001
   -14.90382     1.19103     0.01655     7.29780     0.16737     0.00000     0.00001
   -14.90082     1.16109     0.01550     7.11760     0.16328     0.00000     0.00001
   -14.89782     1.18565     0.01500     7.25722     0.16566     0.00000     0.00001
   -14.89482     1.53655     0.01719     9.39495     0.21365     0.00001     0.00001
   -14.89182     1.24293     0.01371     7.67816     0.17868     0.00001     0.00001
   -14.88882     0.98763     0.01133     6.12717     0.14379     0.00000     0.00001
   -14.88582     0.85470     0.00999     5.31669     0.12537     0.00000     0.00001
   -14.88282     0.83620     0.00964     5.20849     0.12307     0.00000     0.00001
   -14.87982     0.81525     0.00927     5.08384     0.12037     0.00000     0.00001
   -14.87682     0.79436     0.00891     4.95922     0.11766     0.00000     0.00001
   -14.87382     0.77340     0.00856     4.83488     0.11494     0.00000     0.00001
   -14.87082     0.75217     0.00820     4.70782     0.11216     0.00000     0.00001
   -14.86782     0.71535     0.00776     4.48280     0.10698     0.00000     0.00001
   -14.86482     0.67865     0.00733     4.25753     0.10178     0.00000     0.00001
   -14.86182     0.76352     0.00787     4.79348     0.11445     0.00000     0.00001
   -14.85882     0.73829     0.00744     4.64514     0.11124     0.00000     0.00001
   -14.85582     0.71167     0.00714     4.48777     0.10789     0.00000     0.00001
   -14.85282     0.67539     0.00674     4.26731     0.10296     0.00000     0.00001
   -14.84982     0.64149     0.00638     4.06276     0.09842     0.00000     0.00001
   -14.84682     0.60752     0.00601     3.85810     0.09391     0.00000     0.00001
